issue_time,target_time,forecast_horizon_minutes,pv_forecast_kw,pv_forecast_kwh
2025-01-01 00:00:00,2025-01-01 01:00:00,60,0.0,0.0
2025-01-01 00:00:00,2025-01-01 01:10:00,70,0.0,0.0
2025-01-01 00:00:00,2025-01-01 01:20:00,80,0.0,0.0
2025-01-01 00:00:00,2025-01-01 01:30:00,90,0.0,0.0
2025-01-01 00:00:00,2025-01-01 01:40:00,100,0.0,0.0
2025-01-01 00:00:00,2025-01-01 01:50:00,110,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:00:00,120,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:10:00,130,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:20:00,140,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:30:00,150,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:40:00,160,0.0,0.0
2025-01-01 00:00:00,2025-01-01 02:50:00,170,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:00:00,180,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:10:00,190,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:20:00,200,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:30:00,210,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:40:00,220,0.0,0.0
2025-01-01 00:00:00,2025-01-01 03:50:00,230,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:00:00,240,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:10:00,250,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:20:00,260,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:30:00,270,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:40:00,280,0.0,0.0
2025-01-01 00:00:00,2025-01-01 04:50:00,290,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:00:00,300,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:10:00,310,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:20:00,320,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:30:00,330,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:40:00,340,0.0,0.0
2025-01-01 00:00:00,2025-01-01 05:50:00,350,0.0,0.0
2025-01-01 00:00:00,2025-01-01 06:00:00,360,0.0,0.0
2025-01-01 00:00:00,2025-01-01 06:10:00,370,0.51955,0.08659166666666666
