series,metric,value
load,profile_corr_lag_1,0.9428343296873278
load,profile_corr_lag_7,0.9822464101406236
load,profile_corr_lag_14,0.9836361616332541
load,profile_corr_lag_21,0.9823305375806559
pv,profile_corr_lag_1,0.9971738231848628
pv,profile_corr_lag_7,0.9968691173656449
load,weekday_mean_Friday,485514.87242
load,weekday_mean_Monday,759023.499425
load,weekday_mean_Saturday,488013.07022500003
load,weekday_mean_Sunday,760184.0109999997
load,weekday_mean_Thursday,760677.5303599999
load,weekday_mean_Tuesday,759425.5643750002
load,weekday_mean_Wednesday,759661.23446
