date,forecast_net_kwh,risk_kwh
2025-01-02,92035.17001666666,2483.2580333333335
2025-01-03,92721.6809125313,0.0
2025-01-04,76497.33976353322,78.17444444444443
2025-01-05,68827.90809100037,22845.556292841768
2025-01-06,72840.94738699705,18187.466836600077
2025-01-07,75822.96978713782,16942.26190084605
2025-01-08,87835.16510262755,3325.6297034162008
2025-01-09,87566.56113388426,4303.044264042389
2025-01-10,58256.8419820949,35.29303155658591
2025-01-11,57979.147734959086,69.0023739929031
2025-01-12,87325.146337462,4143.113922165072
2025-01-13,86908.13532010357,2771.7527806673866
2025-01-14,85876.9843129667,4041.7078945833273
2025-01-15,88023.78678876541,3104.745548158857
2025-01-16,88321.62198770884,2337.1670152610523
2025-01-17,51349.89252052969,700.7389059053639
2025-01-18,48816.27878181026,2153.164549196521
2025-01-19,86956.23787468014,3098.696354153224
2025-01-20,89090.85911959343,1158.6979393505212
2025-01-21,89025.55539561657,709.7114599749934
2025-01-22,85769.23074662779,3845.451563685989
2025-01-23,85894.06274387054,4280.882740629668
2025-01-24,48895.69313204911,1003.9822098278311
2025-01-25,48502.28734725795,975.3154413288781
2025-01-26,84569.75054376054,3773.4173875234164
2025-01-27,86057.21224798594,1079.0267135959639
2025-01-28,85153.22239591177,3193.694785836121
2025-01-29,86282.99347552018,455.1033743451033
2025-01-30,83359.45998069769,2145.8822350625132
2025-01-31,47191.871367316955,2360.883224001988
