date,soc_start_kwh,soc_end_kwh,note,planned_purchase_kwh,actual_emergency_kwh
2025-01-01,6000.0,6000.0,initialization day; no prior history,,
2025-01-02,6000.0,1365.1683916666664,causal battery warm-up,91520.10686172839,1434.9902081666646
2025-01-03,1365.1683916666664,8524.602759025307,causal battery warm-up,97368.34034110508,0.0
2025-01-04,8524.602759025307,6295.312497381084,causal battery warm-up,72868.27858352415,0.0
2025-01-05,6295.312497381084,1200.0,causal battery warm-up,66934.40791905252,22140.45994647722
2025-01-06,1200.0,1200.0,causal battery warm-up,76864.78694970903,17518.004987952503
2025-01-07,1200.0,2538.56067484166,causal battery warm-up,103346.86200866239,0.0
2025-01-08,2538.56067484166,3576.7875527579376,causal battery warm-up,109404.95971178447,0.0
2025-01-09,3576.7875527579376,3286.76866290148,causal battery warm-up,106637.9812011887,0.0
2025-01-10,3286.76866290148,6136.198676498752,causal battery warm-up,75899.5600673864,0.0
2025-01-11,6136.198676498752,4842.388822920664,causal battery warm-up,57972.439706305464,0.0
2025-01-12,4842.388822920664,2835.195230306058,causal battery warm-up,105047.77669143083,0.0
2025-01-13,2835.195230306058,2772.492152723105,causal battery warm-up,106803.54680781905,0.0
2025-01-14,2772.492152723105,2694.491587644618,causal battery warm-up,105842.04990818568,0.0
2025-01-15,2694.491587644618,2406.6888258871477,causal battery warm-up,95607.65466514888,0.0
2025-01-16,2406.6888258871477,2647.3670778245555,causal battery warm-up,96265.77854980662,0.0
2025-01-17,2647.3670778245555,3978.0262075379533,causal battery warm-up,65321.83767158987,0.0
2025-01-18,3978.0262075379533,1746.795109401856,causal battery warm-up,46219.95445913251,0.0
2025-01-19,1746.795109401856,1210.7173967964254,causal battery warm-up,93708.33168713599,0.0
2025-01-20,1210.7173967964254,2483.36150061519,causal battery warm-up,97422.83065389894,0.0
2025-01-21,2483.36150061519,2653.513399247036,causal battery warm-up,96190.35498591248,0.0
2025-01-22,2653.513399247036,1205.3770634583764,causal battery warm-up,91380.24960978064,850.6306361341667
2025-01-23,1205.3770634583764,1589.4188013386988,causal battery warm-up,94514.21342208612,491.042606425957
2025-01-24,1589.4188013386988,2176.180792990162,causal battery warm-up,49073.91386359054,0.0
2025-01-25,2176.180792990162,1795.5652150621263,causal battery warm-up,48024.365424636606,0.0
2025-01-26,1795.5652150621263,1510.2520235316806,causal battery warm-up,92242.21068124419,0.0
2025-01-27,1510.2520235316806,1909.6389091297292,causal battery warm-up,93611.87183722251,0.0
2025-01-28,1909.6389091297292,1856.4820673975262,causal battery warm-up,92163.41920484451,0.0
2025-01-29,1856.4820673975262,2109.6426224200545,causal battery warm-up,92997.7623771701,0.0
2025-01-30,2109.6426224200545,2007.0124057543796,causal battery warm-up,90937.06557425407,0.0
2025-01-31,2007.0124057543796,1851.8434701927338,causal battery warm-up,43999.258108838505,0.0
