strategy,date,soc_start_kwh,soc_end_kwh,planned_purchase_kwh,planned_cost_yuan,expected_emergency_cost_yuan,safety_quantile,safety_scenario_positive_net_kwh,actual_emergency_kwh,actual_emergency_cost_yuan,actual_emergency_intervals,spill_kwh,total_cost_yuan
optimized_proposed,2025-02-01,1851.8434701927338,2127.1315362656314,42713.66152894012,22405.188060682733,625.553381258582,0.8,47553.91881453118,0.0,0.0,0,4373.378556629015,22405.188060682733
optimized_proposed,2025-02-02,2127.1315362656314,1706.9471410063932,88270.91008676836,55989.90314009986,8212.560866844235,0.8,84713.00875854935,0.0,0.0,0,6152.672136026997,55989.90314009986
optimized_proposed,2025-02-03,1706.9471410063932,1390.4177599352386,86776.37070728588,54991.3694014034,3393.1620411086164,0.8,82692.76180332477,0.0,0.0,0,2675.5377028341654,54991.3694014034
optimized_proposed,2025-02-04,1390.4177599352386,1449.5635619257575,86746.16547469815,54897.9325746168,842.5801009995597,0.8,82383.05770033956,0.0,0.0,0,893.4624440005298,54897.9325746168
optimized_proposed,2025-02-05,1449.5635619257575,1200.0,86105.32306148612,54417.19019881371,3606.654472738479,0.8,81698.03425805247,78.3617410186759,222.55762848232504,5,1190.023316303816,54639.747827296036
optimized_proposed,2025-02-06,1200.0,1385.5548836857013,86733.02983545864,54883.09995582618,3315.3705726909348,0.8,81806.03625655739,0.0,0.0,0,1889.4184944663593,54883.09995582618
optimized_proposed,2025-02-07,1385.5548836857013,1270.447395261065,41484.94838048521,21534.269735100865,22.664219706542145,0.8,45813.85584915299,0.0,0.0,0,5955.274487503883,21534.269735100865
optimized_proposed,2025-02-08,1270.447395261065,1251.6118265829737,36666.84584488912,18898.561149628546,793.2669098989057,0.8,43008.051111069326,293.54267233128814,1794.4263559611643,1,1642.7411464317936,20692.98750558971
optimized_proposed,2025-02-09,1251.6118265829737,1200.0,81388.52271784132,51172.187839000966,548.1692474756285,0.8,77483.94932172308,2374.533234525166,14891.762944825856,12,66.66738250162405,66063.95078382682
optimized_proposed,2025-02-10,1200.0,1200.0,82761.81105654087,52145.859844355306,820.5842485261703,0.8,78387.47227234556,78.08141836115954,166.93139979136564,2,4503.48535900266,52312.79124414667
optimized_proposed,2025-02-11,1200.0,1210.8105964118213,81570.16932580684,51145.62723792254,1078.3287821385293,0.8,77240.60694329128,3.9357045634747934,19.424669873029842,1,2080.758109976328,51165.05190779557
optimized_proposed,2025-02-12,1210.8105964118213,1200.0,82114.54998541146,51270.490393850756,348.3736504540783,0.8,77654.30195022537,156.95928395013237,528.6141522894943,6,2634.4229936112642,51799.104546140254
optimized_proposed,2025-02-13,1200.0,1383.02548045474,80098.30947547371,50011.03328720144,540.7957277420921,0.8,75926.46486621138,0.0,0.0,0,4507.1287980872685,50011.03328720144
optimized_proposed,2025-02-14,1383.02548045474,1229.007796767138,35229.83963603867,18336.169013671017,82.33372124576238,0.8,42451.66201278616,160.03432795029534,834.8351963406718,3,2190.1872417569075,19171.004210011688
