date,time_index,grid_purchase_kwh,price_yuan_per_kwh,grid_cost_yuan
2025-02-01,0,1279.9469641578703,0.4248,543.7214703742633
2025-02-01,1,1284.2974492528224,0.4245,545.184267207823
2025-02-01,2,1297.0390312914885,0.4269,553.7059624583364
2025-02-01,3,1296.5285013592827,0.4272,553.8769757806856
2025-02-01,4,1271.5854893371898,0.4271,543.0941624959137
2025-02-01,5,1291.297381141524,0.4285,553.3209278191431
2025-02-01,6,510.9465006728461,0.4311,220.26903644006396
2025-02-01,7,1293.0598705270668,0.4302,556.2743563007442
2025-02-01,8,1312.4118324540314,0.4279,561.58102310708
2025-02-01,9,517.235829645696,0.4312,223.0320897432241
2025-02-01,10,542.2129878080258,0.4333,234.94088761721758
2025-02-01,11,957.3135335466519,0.4311,412.6978643119616
2025-02-01,12,1315.8736552583387,0.4293,564.9045602024048
2025-02-01,13,506.597232988511,0.4324,219.05264354423215
2025-02-01,14,490.4324020043738,0.4367,214.17182995531002
2025-02-01,15,506.58416579006445,0.4348,220.26279528552004
2025-02-01,16,524.1615378743732,0.4335,227.22402666854077
2025-02-01,17,544.1796333724124,0.4357,237.09906626036005
2025-02-01,18,528.9736389903962,0.4374,231.37306969439933
2025-02-01,19,512.7599197988907,0.4371,224.1273609440951
2025-02-01,20,592.4033947630882,0.4356,258.0509187588012
2025-02-01,21,560.6105131917482,0.4353,244.033756392368
2025-02-01,22,558.6114114231511,0.436,243.5545753804939
2025-02-01,23,551.426575828829,0.4378,241.41455489786134
2025-02-01,24,543.4271078782788,0.4401,239.16227017723048
2025-02-01,25,502.6963719820982,0.4389,220.6334376629429
2025-02-01,26,511.10308537152673,0.4364,223.04538645613428
2025-02-01,27,557.6405094082843,0.4393,244.9714757830593
2025-02-01,28,596.2657136017312,0.4422,263.66869855468553
2025-02-01,29,562.2110291583158,0.4395,247.0917473150798
2025-02-01,30,533.7760684984878,0.4333,231.28517048039478
2025-02-01,31,552.2001397588241,0.4439,245.121642038942
2025-02-01,32,1424.4863864327267,0.4301,612.6715948047157
2025-02-01,33,1397.6431442395378,0.3713,518.9448994561404
2025-02-01,34,545.0702602428429,0.5708,311.1261045466147
2025-02-01,35,0.0,0.9099,0.0
2025-02-01,36,0.0,0.9368,0.0
2025-02-01,37,0.0,0.8758,0.0
2025-02-01,38,0.0,0.8759,0.0
2025-02-01,39,0.0,0.8601,0.0
2025-02-01,40,0.0,0.8442,0.0
2025-02-01,41,0.0,0.8334,0.0
2025-02-01,42,0.0,0.8092,0.0
2025-02-01,43,0.0,0.7972,0.0
2025-02-01,44,0.0,0.7644,0.0
2025-02-01,45,0.0,0.6899,0.0
2025-02-01,46,0.0,0.86,0.0
2025-02-01,47,0.0,1.1617,0.0
2025-02-01,48,0.0,1.1683,0.0
2025-02-01,49,0.0,1.0956,0.0
2025-02-01,50,0.0,1.0849,0.0
2025-02-01,51,0.0,1.061,0.0
2025-02-01,52,0.0,1.043,0.0
2025-02-01,53,0.0,1.036,0.0
2025-02-01,54,0.0,1.0147,0.0
2025-02-01,55,0.0,0.9922,0.0
2025-02-01,56,0.0,0.97,0.0
2025-02-01,57,0.0,0.9422,0.0
2025-02-01,58,0.0,0.9569,0.0
2025-02-01,59,0.0,0.9977,0.0
2025-02-01,60,0.0,0.9919,0.0
2025-02-01,61,0.0,0.9588,0.0
2025-02-01,62,0.0,0.9549,0.0
2025-02-01,63,0.0,0.9839,0.0
2025-02-01,64,0.0,0.799,0.0
2025-02-01,65,0.0,0.5025,0.0
2025-02-01,66,0.0,0.4662,0.0
2025-02-01,67,0.0,0.5007,0.0
2025-02-01,68,0.0,0.4827,0.0
2025-02-01,69,0.0,0.4785,0.0
2025-02-01,70,0.0,0.4662,0.0
2025-02-01,71,544.040450608765,0.4432,241.11872770980463
2025-02-01,72,603.3037661082841,0.4411,266.1172912303641
2025-02-01,73,77.6928514104242,0.4551,35.358016676884056
2025-02-01,74,620.1641033683245,0.4463,276.7792393332832
2025-02-01,75,588.5581390478408,0.4113,242.0739625903769
2025-02-01,76,0.0,0.5682,0.0
2025-02-01,77,0.0,0.8279,0.0
2025-02-01,78,0.0,0.8636,0.0
2025-02-01,79,0.0,0.8416,0.0
2025-02-01,80,0.0,0.8618,0.0
2025-02-01,81,0.0,0.8623,0.0
2025-02-01,82,0.0,0.9026,0.0
2025-02-01,83,0.0,0.9754,0.0
2025-02-01,84,0.0,1.0002,0.0
2025-02-01,85,0.0,0.9978,0.0
2025-02-01,86,0.0,1.0271,0.0
2025-02-01,87,0.0,1.0906,0.0
2025-02-01,88,0.0,0.9376,0.0
2025-02-01,89,0.0,0.6694,0.0
2025-02-01,90,43.12895132958579,0.66,28.465107877526624
2025-02-01,91,52.96425339423711,0.7217,38.224301674620925
2025-02-01,92,122.64165632438801,0.7308,89.62652244186276
2025-02-01,93,171.8570292562341,0.7534,129.47708584164678
2025-02-01,94,197.87282047177825,0.7823,154.79590745507213
2025-02-01,95,245.1469549073451,0.8055,197.4658721778665
2025-02-01,96,275.46448032263754,0.8271,227.8366716748535
2025-02-01,97,353.57012678497426,0.8519,301.20639100811957
2025-02-01,98,438.4099292879622,0.8791,385.4061688370476
2025-02-01,99,466.8124336939077,0.9024,421.25154016538227
2025-02-01,100,437.7984688632024,0.9163,401.15473701935235
2025-02-01,101,451.6761075251445,0.9264,418.4327460112939
2025-02-01,102,480.23180856347136,0.9462,454.39533726275664
2025-02-01,103,488.83432123114363,0.9742,476.2223957433801
2025-02-01,104,498.0980833298919,0.9862,491.22432977993935
2025-02-01,105,530.1374015973902,0.976,517.4141039590528
2025-02-01,106,478.76140067015893,1.0742,514.2854965998847
2025-02-01,107,0.0,1.2313,0.0
2025-02-01,108,0.0,1.2561,0.0
2025-02-01,109,0.0,1.2447,0.0
2025-02-01,110,0.0,1.2545,0.0
2025-02-01,111,0.0,1.2522,0.0
2025-02-01,112,0.0,1.2881,0.0
2025-02-01,113,0.0,1.3466,0.0
2025-02-01,114,0.0,1.3523,0.0
2025-02-01,115,0.0,1.3445,0.0
2025-02-01,116,0.0,1.3483,0.0
2025-02-01,117,0.0,1.349,0.0
2025-02-01,118,0.0,1.3473,0.0
2025-02-01,119,0.0,1.3482,0.0
2025-02-01,120,0.0,1.3513,0.0
2025-02-01,121,0.0,1.34,0.0
2025-02-01,122,0.0,1.3489,0.0
2025-02-01,123,0.0,1.3952,0.0
2025-02-01,124,0.0,1.2226,0.0
2025-02-01,125,508.2911507439547,0.9332,474.3373018742585
2025-02-01,126,487.01620297824405,0.9068,441.62629286067175
2025-02-01,127,481.5177749397899,0.9371,451.23030689607714
2025-02-01,128,495.04446944557094,0.9371,463.90617231744454
2025-02-01,129,473.34571442496406,0.9871,467.239554708882
2025-02-01,130,454.2704103451075,0.7764,352.6955465919415
2025-02-01,131,434.8739377234972,0.4209,183.03844038781997
2025-02-01,132,421.92959108390266,0.3859,162.82262919927805
2025-02-01,133,433.2189855823989,0.4368,189.23005290239183
2025-02-01,134,464.72807238221503,0.4198,195.09284478605386
2025-02-01,135,433.91915002091065,0.4186,181.6385561987532
2025-02-01,136,390.094858597399,0.4241,165.4392295311569
2025-02-01,137,400.620134479376,0.4237,169.74275097891163
2025-02-01,138,397.0355055200165,0.4248,168.660682744903
2025-02-01,139,407.1450590328232,0.424,172.62950502991703
2025-02-01,140,435.0255338635403,0.422,183.580775290414
2025-02-01,141,411.02748746443433,0.424,174.27565468492014
2025-02-01,142,453.24561542779054,0.4271,193.58120234920932
2025-02-01,143,586.5489629573684,0.4276,250.80833656057072
2025-02-02,0,1440.99265626884,0.4248,612.1336803830033
2025-02-02,1,1429.8231913640843,0.4245,606.9599447340538
2025-02-02,2,1444.1686499178722,0.4269,616.5155966499397
2025-02-02,3,1456.4505734424915,0.4272,622.1956849746324
2025-02-02,4,1474.9060617306918,0.4271,629.9323789651785
2025-02-02,5,1489.481487688165,0.4285,638.2428174743787
2025-02-02,6,676.5182836719821,0.4311,291.64703209099144
2025-02-02,7,1456.724081835094,0.4302,626.6827000054575
2025-02-02,8,1503.900861748916,0.4279,643.5191787423612
2025-02-02,9,648.0604609874249,0.4312,279.44367077777764
2025-02-02,10,616.6456630195858,0.4333,267.1925657863865
2025-02-02,11,1085.7607069659512,0.4311,468.07144077302155
2025-02-02,12,1498.2782821149844,0.4293,643.2108665119629
2025-02-02,13,669.360364196767,0.4324,289.43142147868207
2025-02-02,14,672.266995231927,0.4367,293.5789968177825
2025-02-02,15,626.3770260561807,0.4348,272.3487309292274
2025-02-02,16,644.0560619269096,0.4335,279.1983028453153
2025-02-02,17,704.144189077652,0.4357,306.79562318113295
2025-02-02,18,674.4265611087349,0.4374,294.99417782896063
2025-02-02,19,668.5485699962799,0.4371,292.2225799453739
2025-02-02,20,694.3167378379551,0.4356,302.44437100221324
2025-02-02,21,643.885462452772,0.4353,280.2833418056917
2025-02-02,22,618.484924592175,0.436,269.65942712218833
2025-02-02,23,655.2598784363806,0.4378,286.87277477944747
2025-02-02,24,682.7258658059687,0.4401,300.46765354120686
2025-02-02,25,669.8465511983613,0.4389,293.9956513209608
2025-02-02,26,645.0056246760938,0.4364,281.48045460864734
2025-02-02,27,664.8941362413839,0.4393,292.08799405083994
2025-02-02,28,707.3084501341253,0.4422,312.7717966493102
2025-02-02,29,727.784706903585,0.4395,319.8613786841256
2025-02-02,30,706.2017873614592,0.4333,305.9972344637203
2025-02-02,31,721.2936181310465,0.4439,320.18223708837155
2025-02-02,32,1526.712346224882,0.4301,656.6389801113216
2025-02-02,33,1465.0817372319138,0.3713,543.9848490342097
2025-02-02,34,731.4277443119823,0.5708,417.4989564532795
2025-02-02,35,840.9328510705858,0.9099,765.164801189126
2025-02-02,36,92.87583106049374,0.9368,87.00607853747053
2025-02-02,37,868.0394002602617,0.8758,760.2289067479372
2025-02-02,38,901.7141389465002,0.8759,789.8114143032395
2025-02-02,39,906.3385254649206,0.8601,779.5417657523782
2025-02-02,40,876.4802259511039,0.8442,739.9246067479219
2025-02-02,41,827.2855831651922,0.8334,689.4598050098712
2025-02-02,42,799.7759692650709,0.8092,647.1787143292954
2025-02-02,43,772.9795112141986,0.7972,616.2192663399592
2025-02-02,44,731.3396079098883,0.7644,559.0359962863186
2025-02-02,45,1498.578813082641,0.6899,1033.869523145714
2025-02-02,46,812.0154791661139,0.86,698.3333120828579
2025-02-02,47,95.18954794670356,1.1617,110.58169784968551
2025-02-02,48,36.21926985705136,1.1683,42.3149729739931
2025-02-02,49,0.0,1.0956,0.0
2025-02-02,50,0.0,1.0849,0.0
2025-02-02,51,0.0,1.061,0.0
2025-02-02,52,0.0,1.043,0.0
2025-02-02,53,0.0,1.036,0.0
2025-02-02,54,0.0,1.0147,0.0
2025-02-02,55,0.0,0.9922,0.0
2025-02-02,56,0.0,0.97,0.0
2025-02-02,57,218.78314463319933,0.9422,206.13747887340043
2025-02-02,58,0.0,0.9569,0.0
2025-02-02,59,0.0,0.9977,0.0
2025-02-02,60,0.0,0.9919,0.0
2025-02-02,61,0.0,0.9588,0.0
2025-02-02,62,0.0,0.9549,0.0
2025-02-02,63,0.0,0.9839,0.0
2025-02-02,64,60.68121135996398,0.799,48.484287876611226
2025-02-02,65,868.6400918649053,0.5025,436.4916461621149
2025-02-02,66,901.8456627871212,0.4662,420.44044799135594
2025-02-02,67,938.9404295182344,0.5007,470.12747305978
2025-02-02,68,930.418272366946,0.4827,449.11290007152485
2025-02-02,69,874.1802854928742,0.4785,418.2952666083403
2025-02-02,70,847.5888015117728,0.4662,395.14589926478845
2025-02-02,71,860.108150245085,0.4432,381.19993218862163
2025-02-02,72,861.4644104270305,0.4411,379.99195143936316
2025-02-02,73,907.0864052146003,0.4551,412.8150230131646
2025-02-02,74,960.8204869145312,0.4463,428.81418330995524
2025-02-02,75,930.7596352440717,0.4113,382.8214379758867
2025-02-02,76,967.231631715243,0.5682,549.5810131406012
2025-02-02,77,207.29395537779965,0.8279,171.61866565728033
2025-02-02,78,139.28219598510373,0.8636,120.28410445273558
2025-02-02,79,113.77789131900693,0.8416,95.75547333407623
2025-02-02,80,178.6005066738319,0.8618,153.91791665150834
2025-02-02,81,199.68764898686607,0.8623,172.1906597213746
2025-02-02,82,0.0,0.9026,0.0
2025-02-02,83,0.0,0.9754,0.0
2025-02-02,84,0.0,1.0002,0.0
2025-02-02,85,0.0,0.9978,0.0
2025-02-02,86,0.0,1.0271,0.0
2025-02-02,87,0.0,1.0906,0.0
2025-02-02,88,0.0,0.9376,0.0
2025-02-02,89,1302.3859611593705,0.6694,871.8171624000826
2025-02-02,90,1353.7577151337127,0.66,893.4800919882505
2025-02-02,91,1344.9736010930371,0.7217,970.6674479088449
2025-02-02,92,1131.221756769782,0.7308,826.6968598473567
2025-02-02,93,659.3032892688778,0.7534,496.71909813517254
2025-02-02,94,703.7498281819878,0.7823,550.543490586769
2025-02-02,95,758.2553643720464,0.8055,610.7746960016834
2025-02-02,96,782.512924509554,0.8271,647.216439861852
2025-02-02,97,816.6524776159326,0.8519,695.706245681013
2025-02-02,98,868.2133715874656,0.8791,763.246374962541
2025-02-02,99,904.8255605759771,0.9024,816.5145858637617
2025-02-02,100,946.6136201483409,0.9163,867.3820601419249
2025-02-02,101,1000.238679831817,0.9264,926.6211129961953
2025-02-02,102,1047.931587926487,0.9462,991.552868496042
2025-02-02,103,1015.9241002497181,0.9742,989.7132584632753
2025-02-02,104,1046.5586117114358,0.9862,1032.116102869818
2025-02-02,105,1096.569389385066,0.976,1070.2517240398245
2025-02-02,106,958.8551192343189,1.0742,1030.0021690815054
2025-02-02,107,680.4459452292701,1.2313,837.8330923608004
