date,soc_start_kwh,soc_end_kwh,note,planned_purchase_kwh,actual_emergency_kwh
2025-01-01,6000.0,6000.0,initialization day; no prior history,,
2025-01-02,6000.0,1365.1683916666664,causal battery warm-up,91520.10686172839,1434.9902081666646
2025-01-03,1365.1683916666664,8524.602759025307,causal battery warm-up,97368.34034110508,0.0
2025-01-04,8524.602759025307,6295.312497381082,causal battery warm-up,72868.27858352414,0.0
2025-01-05,6295.312497381082,1200.0,causal battery warm-up,66934.40791905254,22140.459946477215
2025-01-06,1200.0,1200.0,causal battery warm-up,76864.78694970903,17518.004987952503
2025-01-07,1200.0,2538.56067484166,causal battery warm-up,103346.86200866239,0.0
2025-01-08,2538.56067484166,3576.787552757937,causal battery warm-up,109404.95971178447,0.0
2025-01-09,3576.787552757937,3286.76866290148,causal battery warm-up,106637.98120118868,0.0
2025-01-10,3286.76866290148,6136.198676498752,causal battery warm-up,75899.5600673864,0.0
2025-01-11,6136.198676498752,4842.388822920664,causal battery warm-up,58114.23856323206,0.0
2025-01-12,4842.388822920664,2835.1952303060552,causal battery warm-up,105047.77669143083,0.0
2025-01-13,2835.1952303060552,2772.4921527231045,causal battery warm-up,106803.54680781905,0.0
2025-01-14,2772.4921527231045,2694.4915876446175,causal battery warm-up,105842.04990818568,0.0
2025-01-15,2694.4915876446175,2406.2839789569307,causal battery warm-up,95642.95026615422,0.0
2025-01-16,2406.2839789569307,2647.3670778243763,causal battery warm-up,96350.32387778255,0.0
2025-01-17,2647.3670778243763,3978.0262075381306,causal battery warm-up,65321.83767159075,0.0
2025-01-18,3978.0262075381306,1746.7951094019331,causal battery warm-up,46219.9544591325,0.0
2025-01-19,1746.7951094019331,1210.7173967958615,causal battery warm-up,93708.33168713527,0.0
2025-01-20,1210.7173967958615,2483.3615006151554,causal battery warm-up,97431.3316518412,0.0
2025-01-21,2483.3615006151554,2653.513399247035,causal battery warm-up,96190.35498591245,0.0
2025-01-22,2653.513399247035,1205.3770634583807,causal battery warm-up,91380.2496097801,850.6306361346353
2025-01-23,1205.3770634583807,1589.418801338704,causal battery warm-up,94514.21342208609,491.04260642592715
2025-01-24,1589.418801338704,2180.3375726823774,causal battery warm-up,49078.53250769329,0.0
2025-01-25,2180.3375726823774,1795.5652150621054,causal battery warm-up,48019.74678053419,0.0
2025-01-26,1795.5652150621054,1510.2520235316756,causal battery warm-up,92242.21068124444,0.0
2025-01-27,1510.2520235316756,1909.6389091297056,causal battery warm-up,93611.87183722235,0.0
2025-01-28,1909.6389091297056,1856.4820673975485,causal battery warm-up,92163.41920484464,0.0
2025-01-29,1856.4820673975485,2109.642622420062,causal battery warm-up,92997.76237717,0.0
2025-01-30,2109.642622420062,2007.0124057543642,causal battery warm-up,90937.06557425394,0.0
2025-01-31,2007.0124057543642,1851.843470192576,causal battery warm-up,43999.25810883846,0.0
