date,time_index,grid_purchase_kwh,price_yuan_per_kwh,grid_cost_yuan
2025-02-01,0,1277.2378495292226,0.4248,542.5706384800137
2025-02-01,1,1284.2974492528224,0.4245,545.184267207823
2025-02-01,2,1270.8363283036551,0.4269,542.5200285528304
2025-02-01,3,1266.0502211261974,0.4272,540.8566544651115
2025-02-01,4,1271.5854893371898,0.4271,543.0941624959137
2025-02-01,5,1291.297381141524,0.4285,553.3209278191431
2025-02-01,6,510.9465006728461,0.4311,220.26903644006396
2025-02-01,7,1293.0598705270668,0.4302,556.2743563007442
2025-02-01,8,1306.4074015950155,0.4279,559.0117271425071
2025-02-01,9,481.0950494858911,0.4312,207.44818533831625
2025-02-01,10,507.9983570925475,0.4333,220.11568812820084
2025-02-01,11,1060.5561380824793,0.4311,457.2057511273568
2025-02-01,12,1282.3136979310138,0.4293,550.4972705217842
2025-02-01,13,446.06305277756326,0.4324,192.87766402101835
2025-02-01,14,512.9525389698974,0.4367,224.0063737681542
2025-02-01,15,506.9989748549852,0.4348,220.44315426694757
2025-02-01,16,519.9900214238506,0.4335,225.41567428723926
2025-02-01,17,558.5154411720484,0.4357,243.3451777186615
2025-02-01,18,528.9736389903962,0.4374,231.37306969439933
2025-02-01,19,513.6822623466833,0.4371,224.53051687173524
2025-02-01,20,532.2798961632852,0.4356,231.86112276872703
2025-02-01,21,517.0564920464528,0.4353,225.07469098782093
2025-02-01,22,530.9609536736325,0.436,231.49897580170378
2025-02-01,23,551.426575828829,0.4378,241.41455489786134
2025-02-01,24,543.4271078782788,0.4401,239.16227017723048
2025-02-01,25,532.4419857317858,0.4389,233.6887875376808
2025-02-01,26,583.3393172008,0.4364,254.56927802642912
2025-02-01,27,572.4621201533305,0.4393,251.4826093833581
2025-02-01,28,577.0698601148183,0.4422,255.18029214277266
2025-02-01,29,562.2110291583158,0.4395,247.0917473150798
2025-02-01,30,551.8849458497763,0.4333,239.13174703670808
2025-02-01,31,596.6638498144558,0.4439,264.85908293263697
2025-02-01,32,1424.4863864327267,0.4301,612.6715948047157
2025-02-01,33,1368.186557818171,0.3713,508.0076689178869
2025-02-01,34,0.0,0.5708,0.0
2025-02-01,35,0.0,0.9099,0.0
2025-02-01,36,0.0,0.9368,0.0
2025-02-01,37,0.0,0.8758,0.0
2025-02-01,38,0.0,0.8759,0.0
2025-02-01,39,0.0,0.8601,0.0
2025-02-01,40,0.0,0.8442,0.0
2025-02-01,41,0.0,0.8334,0.0
2025-02-01,42,0.0,0.8092,0.0
2025-02-01,43,0.0,0.7972,0.0
2025-02-01,44,0.0,0.7644,0.0
2025-02-01,45,0.0,0.6899,0.0
2025-02-01,46,0.0,0.86,0.0
2025-02-01,47,0.0,1.1617,0.0
2025-02-01,48,0.0,1.1683,0.0
2025-02-01,49,0.0,1.0956,0.0
2025-02-01,50,0.0,1.0849,0.0
2025-02-01,51,0.0,1.061,0.0
2025-02-01,52,0.0,1.043,0.0
2025-02-01,53,0.0,1.036,0.0
2025-02-01,54,0.0,1.0147,0.0
2025-02-01,55,0.0,0.9922,0.0
2025-02-01,56,0.0,0.97,0.0
2025-02-01,57,0.0,0.9422,0.0
2025-02-01,58,0.0,0.9569,0.0
2025-02-01,59,0.0,0.9977,0.0
2025-02-01,60,0.0,0.9919,0.0
2025-02-01,61,0.0,0.9588,0.0
2025-02-01,62,0.0,0.9549,0.0
2025-02-01,63,0.0,0.9839,0.0
2025-02-01,64,0.0,0.799,0.0
2025-02-01,65,0.0,0.5025,0.0
2025-02-01,66,0.0,0.4662,0.0
2025-02-01,67,0.0,0.5007,0.0
2025-02-01,68,0.0,0.4827,0.0
2025-02-01,69,0.0,0.4785,0.0
2025-02-01,70,0.0,0.4662,0.0
2025-02-01,71,380.2490999989152,0.4432,168.52640111951922
2025-02-01,72,422.57509244367293,0.4411,186.39787327690414
2025-02-01,73,0.0,0.4551,0.0
2025-02-01,74,298.95889046326425,0.4463,133.42535281375484
2025-02-01,75,381.7088493758496,0.4113,156.99684974828693
2025-02-01,76,0.0,0.5682,0.0
2025-02-01,77,0.0,0.8279,0.0
2025-02-01,78,0.0,0.8636,0.0
2025-02-01,79,0.0,0.8416,0.0
2025-02-01,80,0.0,0.8618,0.0
2025-02-01,81,0.0,0.8623,0.0
2025-02-01,82,0.0,0.9026,0.0
2025-02-01,83,0.0,0.9754,0.0
2025-02-01,84,0.0,1.0002,0.0
2025-02-01,85,0.0,0.9978,0.0
2025-02-01,86,0.0,1.0271,0.0
2025-02-01,87,0.0,1.0906,0.0
2025-02-01,88,0.0,0.9376,0.0
2025-02-01,89,0.0,0.6694,0.0
2025-02-01,90,65.62126883221572,0.66,43.31003742926238
2025-02-01,91,36.71194250337078,0.7217,26.49500890468269
2025-02-01,92,122.64165632438801,0.7308,89.62652244186276
2025-02-01,93,168.10486504911682,0.7534,126.6502053280046
2025-02-01,94,201.78775214546457,0.7823,157.85855850339692
2025-02-01,95,245.1469549073451,0.8055,197.4658721778665
2025-02-01,96,293.54081693715176,0.8271,242.7876096887182
2025-02-01,97,361.5296595879262,0.8519,307.9871170029543
2025-02-01,98,430.606482736297,0.8791,378.54615897347867
2025-02-01,99,448.64087197787035,0.9024,404.8535228728302
2025-02-01,100,422.1904321714369,0.9163,386.85309299868766
2025-02-01,101,421.38236484991313,0.9264,390.3686227969595
2025-02-01,102,438.55817080855786,0.9462,414.96374121905745
2025-02-01,103,482.46091832136256,0.9742,470.01342662867137
2025-02-01,104,480.8173825313473,0.9862,474.18210265241464
2025-02-01,105,494.88701698155376,0.976,483.0097285739965
2025-02-01,106,471.7361750738386,1.0742,506.73899926431744
2025-02-01,107,0.0,1.2313,0.0
2025-02-01,108,0.0,1.2561,0.0
2025-02-01,109,0.0,1.2447,0.0
2025-02-01,110,0.0,1.2545,0.0
2025-02-01,111,0.0,1.2522,0.0
2025-02-01,112,0.0,1.2881,0.0
2025-02-01,113,0.0,1.3466,0.0
2025-02-01,114,0.0,1.3523,0.0
2025-02-01,115,0.0,1.3445,0.0
2025-02-01,116,0.0,1.3483,0.0
2025-02-01,117,0.0,1.349,0.0
2025-02-01,118,0.0,1.3473,0.0
2025-02-01,119,0.0,1.3482,0.0
2025-02-01,120,0.0,1.3513,0.0
2025-02-01,121,0.0,1.34,0.0
2025-02-01,122,0.0,1.3489,0.0
2025-02-01,123,0.0,1.3952,0.0
