strategy,date,soc_start_kwh,reserve_kwh,net_ratio_to_recent_history,soc_end_kwh,planned_purchase_kwh,planned_cost_yuan,expected_emergency_cost_yuan,actual_emergency_kwh,actual_emergency_cost_yuan,actual_emergency_intervals,spill_kwh,total_cost_yuan
optimized_proposed,2025-02-01,4053.540441795339,4071.4175976368388,0.610555444283632,4071.4175976368388,46732.98298012614,24395.536709825017,1067.4909622426417,122.82285977442064,533.4096498697859,8,8559.181816519635,24928.946359694804
optimized_proposed,2025-02-02,4071.4175976368388,6272.10453781397,1.0784920459102447,6272.10453781397,95951.43278468115,60178.18742061103,7187.23442152759,18.873369234567235,118.34126008485029,2,10450.487159274464,60296.52868069588
optimized_proposed,2025-02-03,6272.10453781397,6264.122236905693,1.0767947528096278,6264.122236905693,90348.87094914133,56938.60352946759,3527.4229359277315,268.0648054712856,881.9154259670265,21,5777.347990384005,57820.518955434614
optimized_proposed,2025-02-04,6264.122236905693,6220.12934522353,1.0674404535434987,6220.12934522353,90436.69039344165,56945.57410698295,1337.245830492315,428.50211701232706,1737.9351578098494,19,5029.63904486074,58683.5092647928
optimized_proposed,2025-02-05,6220.12934522353,6016.349988537051,1.0552858046668703,6016.349988537051,90121.51375692993,56828.194059677735,3531.7619909024443,293.6729742133957,1061.485959431737,18,5186.743922094427,57889.68001910947
optimized_proposed,2025-02-06,6016.349988537051,5841.194887795128,1.0513607567508145,5841.194887795128,90197.5173227943,56983.33192008958,3238.4340936009644,233.9615040757243,967.3784422932597,19,5663.470588702221,57950.71036238284
optimized_proposed,2025-02-07,5841.194887795128,3623.6440228547885,0.5709797938879885,3623.6440228547885,42058.8833656597,22015.505786064405,552.5947255907317,295.20522447745515,1339.3038674537088,20,9094.050365364954,23354.809653518114
optimized_proposed,2025-02-08,3623.6440228547885,3602.4174864099277,0.5659790911074017,3602.4174864099277,40493.23626761405,20765.44447094242,1025.7169583073478,479.125908703695,2209.3599388654293,35,5626.805665042476,22974.80440980785
optimized_proposed,2025-02-09,3602.4174864099277,5302.712621547546,1.0341482672168663,5302.712621547546,86531.83968218576,53672.37487144011,1495.9697597290478,1776.6071442067469,6003.658964888835,56,2229.8927216629695,59676.03383632894
optimized_proposed,2025-02-10,5302.712621547546,5651.590569305269,1.0487382807734735,5651.590569305269,86497.31303198612,53945.67990212678,1413.8747424515025,275.4248174031068,1086.868900141893,22,7393.9836182275885,55032.54880226867
optimized_proposed,2025-02-11,5651.590569305269,5546.858564263565,1.0240647486506536,5546.858564263565,85232.05272757735,53204.66314486406,1265.5480738298875,129.73123626342,601.8368778733569,14,5625.496560668462,53806.50002273742
optimized_proposed,2025-02-12,5546.858564263565,5242.762716762956,1.0190370235418427,5242.762716762956,84426.20258033744,52731.28876305798,1193.2126574059198,457.19499104422613,1842.859955754774,35,5356.995372754336,54574.14871881275
optimized_proposed,2025-02-13,5242.762716762956,5229.577085970593,1.0157133939109326,5229.577085970593,82377.3547488083,51397.65054542041,1317.7578389794903,418.24319155385876,1248.5362619154216,31,7007.734590506602,52646.18680733583
optimized_proposed,2025-02-14,5229.577085970593,3416.268312884554,0.5641639323454961,3416.268312884554,35122.22914768987,18427.847772426976,549.3762714898502,964.7803535812141,3039.322197131744,35,4692.887443402907,21467.16996955872
optimized_proposed,2025-02-15,3416.268312884554,3464.683249128156,0.5708462848654349,3464.683249128156,36690.4230640113,19084.71190568478,590.7940862184084,720.3131486042886,2601.933182024245,43,4539.013931875135,21686.645087709025
