date,time_index,grid_purchase_kwh,price_yuan_per_kwh,grid_cost_yuan
2025-02-01,0,1286.6173886035272,0.4248,546.5550666787783
2025-02-01,1,1297.5074089397244,0.4245,550.791895094913
2025-02-01,2,1314.3081654742962,0.4269,561.078155840977
2025-02-01,3,1302.3090155811692,0.4272,556.3464114562755
2025-02-01,4,1314.7138818682124,0.4271,561.5142989459135
2025-02-01,5,1331.2253364247103,0.4285,570.4300566579884
2025-02-01,6,508.99127357555034,0.4311,219.42613803841974
2025-02-01,7,498.7628874415805,0.4302,214.56779417736794
2025-02-01,8,1307.3080662238676,0.4279,559.397121537193
2025-02-01,9,494.14400119152543,0.4312,213.0748933137858
2025-02-01,10,508.1507239264253,0.4333,220.1817086773201
2025-02-01,11,521.452838782341,0.4311,224.7983187990672
2025-02-01,12,1338.1190110955633,0.4293,574.4544914633253
2025-02-01,13,513.7439032473201,0.4324,222.1428637641412
2025-02-01,14,514.9796511179535,0.4367,224.8916136432103
2025-02-01,15,508.0165296381042,0.4348,220.88558708664772
2025-02-01,16,528.6664097233308,0.4335,229.17688861506392
2025-02-01,17,558.5154411720484,0.4357,243.3451777186615
2025-02-01,18,541.4544133604652,0.4374,236.83216040386748
2025-02-01,19,530.9287648976938,0.4371,232.06896313678195
2025-02-01,20,532.2798961632852,0.4356,231.86112276872703
2025-02-01,21,517.0564920464528,0.4353,225.07469098782093
2025-02-01,22,527.8933866417652,0.436,230.16151657580963
2025-02-01,23,552.5581143494129,0.4378,241.90994246217298
2025-02-01,24,542.3107788568451,0.4401,238.67097377489753
2025-02-01,25,532.5948484187961,0.4389,233.75587897100962
2025-02-01,26,560.3088731202299,0.4364,244.51879222966835
2025-02-01,27,567.9721462859668,0.4393,249.51016386342522
2025-02-01,28,556.8324592851205,0.4422,246.2313134958803
2025-02-01,29,560.709998478347,0.4395,246.4320443312335
2025-02-01,30,551.8849458497763,0.4333,239.13174703670808
2025-02-01,31,594.6955598090007,0.4439,263.9853589992154
2025-02-01,32,591.7630942495604,0.4301,254.5173068367359
2025-02-01,33,1397.7801329846397,0.3713,518.9957633771968
2025-02-01,34,561.2418963128474,0.5708,320.3568744153733
2025-02-01,35,0.0,0.9099,0.0
2025-02-01,36,0.0,0.9368,0.0
2025-02-01,37,0.0,0.8758,0.0
2025-02-01,38,0.0,0.8759,0.0
2025-02-01,39,0.0,0.8601,0.0
2025-02-01,40,0.0,0.8442,0.0
2025-02-01,41,0.0,0.8334,0.0
2025-02-01,42,0.0,0.8092,0.0
2025-02-01,43,0.0,0.7972,0.0
2025-02-01,44,0.0,0.7644,0.0
2025-02-01,45,0.0,0.6899,0.0
2025-02-01,46,0.0,0.86,0.0
2025-02-01,47,0.0,1.1617,0.0
2025-02-01,48,0.0,1.1683,0.0
2025-02-01,49,0.0,1.0956,0.0
2025-02-01,50,0.0,1.0849,0.0
2025-02-01,51,0.0,1.061,0.0
2025-02-01,52,0.0,1.043,0.0
2025-02-01,53,0.0,1.036,0.0
2025-02-01,54,0.0,1.0147,0.0
2025-02-01,55,0.0,0.9922,0.0
2025-02-01,56,0.0,0.97,0.0
2025-02-01,57,0.0,0.9422,0.0
2025-02-01,58,0.0,0.9569,0.0
2025-02-01,59,0.0,0.9977,0.0
2025-02-01,60,0.0,0.9919,0.0
2025-02-01,61,0.0,0.9588,0.0
2025-02-01,62,0.0,0.9549,0.0
2025-02-01,63,0.0,0.9839,0.0
2025-02-01,64,0.0,0.799,0.0
2025-02-01,65,0.0,0.5025,0.0
2025-02-01,66,0.0,0.4662,0.0
2025-02-01,67,0.0,0.5007,0.0
2025-02-01,68,0.0,0.4827,0.0
2025-02-01,69,0.0,0.4785,0.0
2025-02-01,70,211.31084756742587,0.4662,98.51311713593394
2025-02-01,71,544.1519175543833,0.4432,241.16812986010268
2025-02-01,72,556.0653070183226,0.4411,245.2804069257821
2025-02-01,73,553.515590066191,0.4551,251.9049450391235
2025-02-01,74,516.9957087116675,0.4463,230.73518479801717
2025-02-01,75,494.8945572264396,0.4113,203.55013138723461
2025-02-01,76,0.0,0.5682,0.0
2025-02-01,77,0.0,0.8279,0.0
2025-02-01,78,0.0,0.8636,0.0
2025-02-01,79,0.0,0.8416,0.0
2025-02-01,80,0.0,0.8618,0.0
2025-02-01,81,0.0,0.8623,0.0
2025-02-01,82,0.0,0.9026,0.0
2025-02-01,83,0.0,0.9754,0.0
2025-02-01,84,0.0,1.0002,0.0
2025-02-01,85,0.0,0.9978,0.0
2025-02-01,86,0.0,1.0271,0.0
2025-02-01,87,0.0,1.0906,0.0
2025-02-01,88,0.0,0.9376,0.0
2025-02-01,89,0.0,0.6694,0.0
2025-02-01,90,25.625053523288436,0.66,16.912535325370367
2025-02-01,91,75.3986349526722,0.7217,54.41519484534353
2025-02-01,92,122.97140753745249,0.7308,89.86750462837028
2025-02-01,93,168.20895056063347,0.7534,126.72862335238125
2025-02-01,94,232.22212148494037,0.7823,181.66736563766887
2025-02-01,95,243.05801747375983,0.8055,195.78323307511354
2025-02-01,96,293.64861252133005,0.8271,242.87676741639206
2025-02-01,97,339.9616570561064,0.8519,289.613335646097
2025-02-01,98,429.06349848001224,0.8791,377.18972151377875
2025-02-01,99,442.54928548640646,0.9024,399.35647522293317
2025-02-01,100,430.19931367708176,0.9163,394.19163112231
2025-02-01,101,421.5449647573779,0.9264,390.5192553512349
2025-02-01,102,470.820442684613,0.9462,445.49030286818083
2025-02-01,103,491.24476381267164,0.9742,478.5706489063047
