optimization_run_id,update_time,forecast_coverage_start,forecast_coverage_end,issue_time,target_time,forecast_horizon_minutes,pv_forecast_kw,pv_forecast_kwh,pv_forecast_source,pv_anchor_observed_at_issue_kw,pv_anchor_observed_time,pv_anchor_source,load_forecast_kwh,load_forecast_source_time,load_forecast_source_times,load_forecast_history_count,load_forecast_source,information_cutoff,execution_start_index,execution_stop_index_exclusive,executed_in_this_update,planned_grid_kwh,planned_charge_kwh,planned_discharge_kwh,planned_curtailment_kwh,planned_soc_start_kwh,planned_soc_end_kwh,base_plan_grid_kwh,soc_grid_step_kwh
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 00:10:00,10,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-03-20 00:00:00,observed_at_issue,580.17906,2025-03-13 00:10:00,2025-03-13 00:10:00;2025-03-06 00:10:00;2025-02-27 00:10:00;2025-02-20 00:10:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1380.17906,800.0,0.0,0.0,1200.0,1920.0,1380.17906,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 00:20:00,20,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-03-20 00:00:00,observed_at_issue,574.4108266666667,2025-03-13 00:20:00,2025-03-13 00:20:00;2025-03-06 00:20:00;2025-02-27 00:20:00;2025-02-20 00:20:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1374.4108266666667,800.0,0.0,0.0,1920.0,2640.0,1374.4108266666667,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 00:30:00,30,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-03-20 00:00:00,observed_at_issue,574.2561666666668,2025-03-13 00:30:00,2025-03-13 00:30:00;2025-03-06 00:30:00;2025-02-27 00:30:00;2025-02-20 00:30:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1374.2561666666668,800.0,0.0,0.0,2640.0,3360.0,1374.2561666666668,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 00:40:00,40,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-03-20 00:00:00,observed_at_issue,585.8734283333335,2025-03-13 00:40:00,2025-03-13 00:40:00;2025-03-06 00:40:00;2025-02-27 00:40:00;2025-02-20 00:40:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1385.8734283333335,800.0,0.0,0.0,3360.0,4080.0,1385.8734283333335,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 00:50:00,50,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-03-20 00:00:00,observed_at_issue,589.6674800000001,2025-03-13 00:50:00,2025-03-13 00:50:00;2025-03-06 00:50:00;2025-02-27 00:50:00;2025-02-20 00:50:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1389.66748,800.0,0.0,0.0,4080.0,4800.0,1389.66748,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 01:00:00,60,0.0,0.0,attachment3_10min_interpolation,0.0,2025-03-20 00:00:00,observed_at_issue,584.7841666666668,2025-03-13 01:00:00,2025-03-13 01:00:00;2025-03-06 01:00:00;2025-02-27 01:00:00;2025-02-20 01:00:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1384.7841666666668,800.0,0.0,0.0,4800.0,5520.0,1384.7841666666668,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 01:10:00,70,0.0,0.0,attachment3_10min_interpolation,0.0,2025-03-20 00:00:00,observed_at_issue,586.794245,2025-03-13 01:10:00,2025-03-13 01:10:00;2025-03-06 01:10:00;2025-02-27 01:10:00;2025-02-20 01:10:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1386.794245,800.0,0.0,0.0,5520.0,6240.0,1386.794245,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 01:20:00,80,0.0,0.0,attachment3_10min_interpolation,0.0,2025-03-20 00:00:00,observed_at_issue,577.6963900000001,2025-03-13 01:20:00,2025-03-13 01:20:00;2025-03-06 01:20:00;2025-02-27 01:20:00;2025-02-20 01:20:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1377.69639,800.0,0.0,0.0,6240.0,6960.0,1377.69639,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 01:30:00,90,0.0,0.0,attachment3_10min_interpolation,0.0,2025-03-20 00:00:00,observed_at_issue,563.6245000000001,2025-03-13 01:30:00,2025-03-13 01:30:00;2025-03-06 01:30:00;2025-02-27 01:30:00;2025-02-20 01:30:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,1363.6245000000001,800.0,0.0,0.0,6960.0,7680.0,1363.6245000000001,120.0
2025-03-20T00:00_rolling,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-21 00:00:00,2025-03-20 00:00:00,2025-03-20 01:40:00,100,0.0,0.0,attachment3_10min_interpolation,0.0,2025-03-20 00:00:00,observed_at_issue,572.6025000000001,2025-03-13 01:40:00,2025-03-13 01:40:00;2025-03-06 01:40:00;2025-02-27 01:40:00;2025-02-20 01:40:00,4,weighted_same_weekday_4w,2025-03-20 00:00:00,0,36,True,839.2691666666667,266.6666666666667,0.0,0.0,7680.0,7920.0,839.2691666666667,120.0
