optimization_run_id,update_time,forecast_coverage_start,forecast_coverage_end,issue_time,target_time,forecast_horizon_minutes,pv_forecast_kw,pv_forecast_kwh,pv_forecast_source,pv_anchor_observed_at_issue_kw,pv_anchor_observed_time,load_forecast_kwh,load_forecast_source_time,load_forecast_source,information_cutoff,execution_start_index,execution_stop_index_exclusive,executed_in_this_update,planned_grid_kwh,planned_charge_kwh,planned_discharge_kwh,planned_curtailment_kwh,planned_soc_start_kwh,planned_soc_end_kwh,base_plan_grid_kwh,soc_grid_step_kwh
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 00:10:00,10,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-12-21 00:00:00,592.6912333333333,2025-12-14 00:10:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1392.6912333333335,800.0,0.0,0.0,1200.0,1920.0,1392.6912333333335,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 00:20:00,20,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-12-21 00:00:00,561.2439,2025-12-14 00:20:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1361.2439,800.0,0.0,0.0,1920.0,2640.0,1361.2439,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 00:30:00,30,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-12-21 00:00:00,571.5483333333333,2025-12-14 00:30:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1371.5483333333332,800.0,0.0,0.0,2640.0,3360.0,1371.5483333333332,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 00:40:00,40,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-12-21 00:00:00,612.7311666666667,2025-12-14 00:40:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1412.7311666666667,800.0,0.0,0.0,3360.0,4080.0,1412.7311666666667,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 00:50:00,50,0.0,0.0,observed_anchor_linear_to_h1,0.0,2025-12-21 00:00:00,626.2757666666666,2025-12-14 00:50:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1426.2757666666666,800.0,0.0,0.0,4080.0,4800.0,1426.2757666666666,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:00:00,60,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,608.4616666666667,2025-12-14 01:00:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1408.4616666666666,800.0,0.0,0.0,4800.0,5520.0,1408.4616666666666,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:10:00,70,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,606.02975,2025-12-14 01:10:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1406.0297500000001,800.0,0.0,0.0,5520.0,6240.0,1406.0297500000001,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:20:00,80,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,605.0776,2025-12-14 01:20:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1405.0776,800.0,0.0,0.0,6240.0,6960.0,1405.0776,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:30:00,90,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,598.8383333333334,2025-12-14 01:30:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1398.8383333333334,800.0,0.0,0.0,6960.0,7680.0,1398.8383333333334,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:40:00,100,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,600.3714333333334,2025-12-14 01:40:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,867.0381,266.6666666666667,0.0,0.0,7680.0,7920.0,867.0381,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 01:50:00,110,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,609.7503833333334,2025-12-14 01:50:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,609.7503833333334,0.0,0.0,0.0,7920.0,7920.0,609.7503833333334,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 02:00:00,120,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,618.77,2025-12-14 02:00:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1418.77,800.0,0.0,0.0,7920.0,8640.0,1418.77,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 02:10:00,130,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,620.9696333333333,2025-12-14 02:10:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,1420.9696333333331,800.0,0.0,0.0,8640.0,9360.0,1420.9696333333331,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 02:20:00,140,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,634.80715,2025-12-14 02:20:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,634.80715,0.0,0.0,0.0,9360.0,9360.0,634.80715,120.0
2025-12-21T00:00_rolling,2025-12-21 00:00:00,2025-12-21 00:10:00,2025-12-22 00:00:00,2025-12-21 00:00:00,2025-12-21 02:30:00,150,0.0,0.0,attachment3_10min_interpolation,0.0,2025-12-21 00:00:00,658.2583333333333,2025-12-14 02:30:00,actual_same_interval_7_days_ago,2025-12-21 00:00:00,0,36,True,658.2583333333333,0.0,0.0,0.0,9360.0,9360.0,658.2583333333333,120.0
