eta,date,strategy,scheduled_grid_kwh,emergency_purchase_kwh,total_grid_purchase_kwh,base_plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_grid_cost_yuan,curtailed_pv_kwh,overpurchase_spill_kwh,pv_consumption_rate,charge_input_kwh,discharge_output_kwh,soc_initial_kwh,soc_terminal_kwh,soc_min_kwh,soc_max_kwh,pv_forecast_mae_kw,load_forecast_mae_kw
0.85,2025-03-20,rolling,61814.46961764706,2737.742126797386,64552.211744444445,41253.67400014683,-898.4607543580128,9667.202688314377,50022.41593410319,772.8193866013069,910.0775999999996,0.9860601105176973,17082.352941176472,16422.0,6000.0,1200.0,1200.0,10800.0,113.3815662037037,129.5548923611111
0.85,2025-06-21,rolling,29627.691770588237,750.9033656862744,30378.595136274507,17906.944785187778,-27.914733747589853,2532.394244000816,20411.424295441004,10770.03735866013,1219.6997305555556,0.8264949160889451,11294.117647058825,12240.0,6000.0,1200.0,1200.0,10800.0,123.61963842592594,155.71023819444443
0.85,2025-09-23,rolling,63895.117597385615,1479.6623174836627,65374.77991486927,42728.043557438694,-657.16941844902,6405.353862703279,48476.22800169295,1245.8894648692817,1430.2748666666662,0.9789067057985497,16800.0,16218.0,6000.0,1200.0,1200.0,10800.0,53.515887847222224,148.89045833333344
0.85,2025-12-21,rolling,89252.62118415032,2211.310069444445,91463.93125359478,59899.1283407375,959.3683823680542,7478.907939047223,68337.40466215278,1203.32963888889,993.4079833333328,0.9659486333229635,15529.411764705881,15300.0,6000.0,1200.0,1200.0,10800.0,66.93332164351847,148.0094243055556
0.9,2025-03-20,rolling,59673.427,2917.008283333332,62590.43528333333,39715.78289141222,-870.3273654995812,10625.109242269438,49470.56476818208,700.7292,910.0775999999994,0.9873604521646637,16266.666666666666,17496.0,6000.0,1200.0,1200.0,10800.0,113.3815662037037,129.5548923611111
0.9,2025-06-21,rolling,28819.517958333337,777.0244249999998,29596.542383333333,17229.58958501028,-98.42246115805557,2659.1424428319433,19790.309566684162,11335.435586111113,1219.6997305555556,0.8173863620858187,10666.666666666668,12960.0,6000.0,1200.0,1200.0,10800.0,123.61963842592594,155.71023819444443
0.9,2025-09-23,rolling,62371.346602777776,1410.6628083333353,63782.00941111111,41140.77929929611,-614.5239812545842,6087.461802175008,46613.717120216534,1439.1189611111122,1430.2748666666664,0.9756352706290945,16400.0,17604.0,6000.0,1200.0,1200.0,10800.0,53.515887847222224,148.89045833333344
0.9,2025-12-21,rolling,88357.59124166667,2207.416005555556,90565.00724722222,57848.93451584973,925.7181518812489,7471.563202456944,66246.21587018792,1205.817397222224,993.4079833333329,0.9658782356792303,19200.0,19872.0,6000.0,1200.0,1200.0,10800.0,66.93332164351847,148.0094243055556
0.95,2025-03-20,rolling,58169.989719590645,2748.3878062865488,60918.37752587719,38373.99382244548,-913.0814604177831,9805.224986436542,47266.13734846424,782.9170565789472,910.0775999999996,0.9858779717075723,16168.42105263158,19152.0,6000.0,1200.0,1200.0,10800.0,113.3815662037037,129.5548923611111
0.95,2025-06-21,rolling,28368.40197119883,784.6679638888886,29153.06993508772,16517.80547974712,-32.96296329736848,2691.5761763263877,19176.41869277614,12025.577172953217,1219.6997305555553,0.8062681950871441,11621.052631578947,15048.0,6000.0,1200.0,1200.0,10800.0,123.61963842592594,155.71023819444443
0.95,2025-09-23,rolling,60751.342621198826,1306.7723940058488,62058.115015204676,39810.38032133051,-576.0471229135969,5596.026387741378,44830.359586158294,1462.7952669590645,1437.6515333333332,0.9752344234440621,16421.052631578947,19380.0,6000.0,1200.0,1200.0,10800.0,53.515887847222224,148.89045833333344
0.95,2025-12-21,rolling,86462.5361614035,2190.819419444444,88653.35558084796,56032.59242121965,926.488729778193,7383.450527174997,64342.53167817283,1186.830019444445,993.5857999999995,0.9664155333091162,20463.157894736847,23028.0,6000.0,1200.0,1200.0,10800.0,66.93332164351847,148.0094243055556
