date,time_index,period_start,period_end,actual_load_kw,actual_load_kwh,actual_pv_kw,actual_pv_kwh,load_forecast_kwh,pv_forecast_used_kw,pv_forecast_used_kwh,forecast_issue_time,forecast_horizon_minutes,pv_forecast_source,load_forecast_source_time,base_plan_grid_kwh,scheduled_grid_kwh,up_adjustment_kwh,down_adjustment_kwh,emergency_purchase_kwh,total_grid_purchase_kwh,grid_purchase_kwh,charge_input_kwh,discharge_output_kwh,curtailed_pv_kwh,overpurchase_spill_kwh,soc_start_kwh,soc_end_kwh,charge_state_binary,price_yuan_per_kwh,base_plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,grid_cost_yuan,strategy,cumulative_grid_cost_yuan,cumulative_grid_kwh,cumulative_emergency_kwh,cumulative_curtailed_pv_kwh
2025-01-01,0,2025-01-01 00:00:00,2025-01-01 00:10:00,3529.7296,588.2882666666667,0.0,0.0,572.9965333333333,0.0,0.0,2025-01-01 00:00:00,10,observed_anchor_linear_to_h1,2024-12-31 23:59:59,1372.9965333333334,1372.9965333333334,0.0,0.0,15.29173333333324,1388.2882666666667,1388.2882666666667,800.0,0.0,0.0,0.0,6000.0,6720.0,1,0.4248,583.24892736,0.0,32.4796415999998,615.7285689599998,rolling,615.7285689599998,1388.2882666666667,15.29173333333324,0.0
2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:20:00,3609.5287,601.5881166666667,0.0,0.0,574.0505166666667,0.0,0.0,2025-01-01 00:00:00,20,observed_anchor_linear_to_h1,2024-12-31 23:59:59,1374.0505166666667,1374.0505166666667,0.0,0.0,27.53760000000011,1401.5881166666668,1401.5881166666668,800.0,0.0,0.0,0.0,6720.0,7440.0,1,0.4245,583.284444325,0.0,58.44855600000024,641.7330003250003,rolling,1257.4615692850002,2789.8763833333333,42.82933333333335,0.0
2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:30:00,3726.56,621.0933333333334,0.0,0.0,575.7406166666666,0.0,0.0,2025-01-01 00:00:00,30,observed_anchor_linear_to_h1,2024-12-31 23:59:59,1375.7406166666665,1375.7406166666665,0.0,0.0,45.352716666666765,1421.0933333333332,1421.0933333333332,800.0,0.0,0.0,0.0,7440.0,8160.0,1,0.4269,587.3036692549999,0.0,96.80537372500021,684.1090429800001,rolling,1941.5706122650004,4210.9697166666665,88.18205000000012,0.0
2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:40:00,3510.6311,585.1051833333333,0.0,0.0,576.4712166666667,0.0,0.0,2025-01-01 00:00:00,40,observed_anchor_linear_to_h1,2024-12-31 23:59:59,1376.4712166666668,1376.4712166666668,0.0,0.0,8.633966666666538,1385.1051833333333,1385.1051833333333,800.0,0.0,0.0,0.0,8160.0,8880.0,1,0.4272,588.0285037600001,0.0,18.442152799999725,606.4706565599998,rolling,2548.0412688250003,5596.0749,96.81601666666666,0.0
2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:50:00,3502.5625,583.7604166666666,0.0,0.0,576.6400166666666,0.0,0.0,2025-01-01 00:00:00,50,observed_anchor_linear_to_h1,2024-12-31 23:59:59,1376.6400166666667,1376.6400166666667,0.0,0.0,7.1203999999997905,1383.7604166666665,1383.7604166666665,800.0,0.0,0.0,0.0,8880.0,9600.0,1,0.4271,587.9629511183333,0.0,15.205614199999552,603.1685653183329,rolling,3151.209834143333,6979.835316666666,103.93641666666645,0.0
2025-01-01,5,2025-01-01 00:50:00,2025-01-01 01:00:00,3787.01,631.1683333333334,0.0,0.0,577.8597,0.0,0.0,2025-01-01 00:00:00,60,attachment3_10min_interpolation,2024-12-31 23:59:59,577.8597,577.8597,0.0,0.0,53.30863333333343,631.1683333333334,631.1683333333334,0.0,0.0,0.0,0.0,9600.0,9600.0,0,0.4285,247.61288144999997,0.0,114.21374691666688,361.82662836666685,rolling,3513.0364625099996,7611.003649999999,157.24504999999988,0.0
2025-01-01,6,2025-01-01 01:00:00,2025-01-01 01:10:00,3900.3205,650.0534166666666,0.0,0.0,577.9938666666667,0.0,0.0,2025-01-01 00:00:00,70,attachment3_10min_interpolation,2024-12-31 23:59:59,577.9938666666667,577.9938666666667,0.0,0.0,72.05954999999994,650.0534166666666,650.0534166666666,0.0,0.0,0.0,0.0,9600.0,9600.0,0,0.4311,249.17315592,0.0,155.3243600249999,404.4975159449999,rolling,3917.5339784549997,8261.057066666664,229.30459999999982,0.0
2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:20:00,3916.8376,652.8062666666666,0.0,0.0,577.82805,0.0,0.0,2025-01-01 00:00:00,80,attachment3_10min_interpolation,2024-12-31 23:59:59,577.82805,577.82805,0.0,0.0,74.97821666666664,652.8062666666666,652.8062666666666,0.0,0.0,0.0,0.0,9600.0,9600.0,0,0.4302,248.58162711,0.0,161.27814404999995,409.8597711599999,rolling,4327.393749614999,8913.863333333331,304.28281666666646,0.0
2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:30:00,3817.28,636.2133333333334,0.0,0.0,580.41545,0.0,0.0,2025-01-01 00:00:00,90,attachment3_10min_interpolation,2024-12-31 23:59:59,1113.7487833333334,1113.7487833333334,0.0,0.0,55.797883333333175,1169.5466666666666,1169.5466666666666,533.3333333333334,0.0,0.0,0.0,9600.0,10080.0,1,0.4279,476.5731043883334,0.0,119.37957139166633,595.9526757799997,rolling,4923.346425394999,10083.409999999998,360.08069999999964,0.0
2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:40:00,3533.0136,588.8356,0.0,0.0,582.5140166666666,0.0,0.0,2025-01-01 00:00:00,100,attachment3_10min_interpolation,2024-12-31 23:59:59,582.5140166666666,582.5140166666666,0.0,0.0,6.321583333333365,588.8356,588.8356,0.0,0.0,0.0,0.0,10080.0,10080.0,0,0.4312,251.18004398666667,0.0,13.629333666666735,264.8093776533334,rolling,5188.155803048332,10672.245599999998,366.402283333333,0.0
