date,time_block,charge_input_kwh,discharge_output_kwh,soc_00_kwh,soc_24_kwh
2025-03-20,00:00-04:00,9066.666666666668,0.0,1200.0,
2025-03-20,04:00-08:00,1600.0,6588.0,,1200.0
2025-03-20,08:00-12:00,4800.0,2052.0,,
2025-03-20,12:00-16:00,6133.333333333334,216.0,,
2025-03-20,16:00-20:00,0.0,6048.0,,
2025-03-20,20:00-24:00,0.0,2592.0,,
2025-06-21,00:00-04:00,1333.3333333333335,0.0,1200.0,
2025-06-21,04:00-08:00,800.0,1728.0,,1200.0
2025-06-21,08:00-12:00,5333.333333333334,0.0,,
2025-06-21,12:00-16:00,5333.333333333334,0.0,,
2025-06-21,16:00-20:00,0.0,6264.0,,
2025-06-21,20:00-24:00,0.0,2376.0,,
2025-09-23,00:00-04:00,9066.666666666668,0.0,1200.0,
2025-09-23,04:00-08:00,1600.0,6696.0,,1200.0
2025-09-23,08:00-12:00,5466.666666666667,1836.0,,
2025-09-23,12:00-16:00,5600.0,432.0,,
2025-09-23,16:00-20:00,0.0,5616.0,,
2025-09-23,20:00-24:00,0.0,3024.0,,
2025-12-21,00:00-04:00,9066.666666666668,0.0,1200.0,
2025-12-21,04:00-08:00,2400.0,1404.0,,1200.0
2025-12-21,08:00-12:00,5600.0,7776.0,,
2025-12-21,12:00-16:00,7466.666666666667,2052.0,,
2025-12-21,16:00-20:00,0.0,5940.0,,
2025-12-21,20:00-24:00,0.0,2700.0,,
