date,soc_start_kwh,soc_end_kwh,note,planned_purchase_kwh,actual_emergency_kwh
2025-01-01,6000.0,6000.0,initialization day; no prior history,,
2025-01-02,6000.0,1365.1683916666664,dynamic_greedy,91939.4383473251,1494.582702499998
2025-01-03,1365.1683916666664,8131.543405370372,dynamic_greedy,97559.98274977418,0.0
2025-01-04,8131.543405370372,5988.0578375777395,dynamic_greedy,73775.19815190777,0.0
2025-01-05,5988.0578375777395,1200.0,dynamic_greedy,67336.96100421826,22155.03029564763
2025-01-06,1200.0,1200.0,dynamic_greedy,76864.78694970903,17542.381817735273
2025-01-07,1200.0,2543.0122921564753,dynamic_greedy,103500.3250397636,0.0
2025-01-08,2543.0122921564753,3517.8953141989505,dynamic_greedy,110028.63857348906,0.0
2025-01-09,3517.8953141989505,3040.30106887514,dynamic_greedy,107244.49986520078,0.0
2025-01-10,3040.30106887514,5918.0406598320105,dynamic_greedy,76525.0866799081,0.0
2025-01-11,5918.0406598320105,4909.389567335833,dynamic_greedy,67913.30561821802,0.0
2025-01-12,4909.389567335833,2933.575979378014,dynamic_greedy,105143.5218803652,0.0
2025-01-13,2933.575979378014,2623.327354557659,dynamic_greedy,107207.2644192344,0.0
2025-01-14,2623.327354557659,2494.4322328853627,dynamic_greedy,106394.28235057747,0.0
2025-01-15,2494.4322328853627,2433.475249399612,dynamic_greedy,103722.36654664724,0.0
2025-01-16,2433.475249399612,2662.433378809307,dynamic_greedy,104154.59790023323,0.0
2025-01-17,2662.433378809307,3733.030877195428,dynamic_greedy,65542.9491637972,0.0
2025-01-18,3733.030877195428,1669.970746351712,dynamic_greedy,47026.587955808354,0.0
2025-01-19,1669.970746351712,1200.0,dynamic_greedy,95170.3087461779,143.82631691390304
2025-01-20,1200.0,2436.932281810316,dynamic_greedy,98132.35956519202,0.0
2025-01-21,2436.932281810316,2529.3397770028614,dynamic_greedy,98725.570362045,0.0
2025-01-22,2529.3397770028614,1200.0,dynamic_greedy,91945.23863921338,843.975034233918
2025-01-23,1200.0,1636.3091937056804,dynamic_greedy,96617.32950642484,0.0
2025-01-24,1636.3091937056804,2020.159833022636,dynamic_greedy,50261.83776405391,0.0
2025-01-25,2020.159833022636,1757.678602624631,dynamic_greedy,48859.10770236114,0.0
2025-01-26,1757.678602624631,1296.1646957429368,dynamic_greedy,92763.4044037309,0.0
2025-01-27,1296.1646957429368,1848.2971251246527,dynamic_greedy,94087.49009471975,0.0
2025-01-28,1848.2971251246527,1911.0193546059318,dynamic_greedy,92473.68777921592,0.0
2025-01-29,1911.0193546059318,2136.5366360006456,dynamic_greedy,93560.87893326275,0.0
2025-01-30,2136.5366360006456,1997.8151937631005,dynamic_greedy,92063.10862914466,0.0
2025-01-31,1997.8151937631005,1812.7596250834226,dynamic_greedy,45107.370230784145,0.0
