strategy,date,soc_start_kwh,soc_end_kwh,planned_purchase_kwh,planned_cost_yuan,expected_emergency_cost_yuan,safety_quantile,safety_scenario_positive_net_kwh,actual_emergency_kwh,actual_emergency_cost_yuan,actual_emergency_intervals,spill_kwh,protected_release_kwh,total_cost_yuan,day_price_min,day_price_max,day_price_mean
dynamic_reserve_aware,2025-02-01,2132.064113769961,2471.6196277134145,42880.46045689482,17852.000367045184,488.08395398214344,0.8,47553.91881453118,418.0922187821231,2010.0166323746507,2,4540.707370934919,0.0,19862.016999419837,0.2537,1.1766,0.6514930555555556
dynamic_reserve_aware,2025-02-02,2471.6196277134145,2370.218760504647,87744.02608473206,61597.40750568962,9192.390118532265,0.8,84713.00875854935,1604.3638694451645,9441.869975576114,8,7332.626167665896,862.3294039980896,71039.27748126573,0.3697,1.3998,0.8363881944444445
dynamic_reserve_aware,2025-02-03,2370.218760504647,2144.860235953675,85856.0521065448,61177.698958356224,3983.5069876803163,0.8,82692.76180332477,1774.5699943621846,10719.959019743528,9,3965.180567259983,0.0,71897.65797809976,0.3709,1.3447,0.8447902777777778
dynamic_reserve_aware,2025-02-04,2144.860235953675,2255.912532051272,85860.16229132729,61011.738674340806,1026.6898310782735,0.8,82383.05770033956,2261.643354776772,13521.278931431076,15,2739.9720377392096,1265.2376482224406,74533.01760577188,0.381,1.3987,0.8491895833333333
dynamic_reserve_aware,2025-02-05,2255.912532051272,1933.8118718204141,85337.34817889937,60640.97848196966,4191.57822007154,0.8,81698.03425805247,2163.0016786725228,13181.809286267044,14,2830.023213784611,877.5544537248309,73822.7877682367,0.3423,1.3848,0.8482541666666665
dynamic_reserve_aware,2025-02-06,1933.8118718204141,2044.8619050232994,85908.17357803133,61110.12130668812,3819.6847735326255,0.8,81806.03625655739,2053.605508065893,12344.6961031811,12,3706.8979840803413,0.0,73454.81740986923,0.3228,1.447,0.8439645833333334
dynamic_reserve_aware,2025-02-07,2044.8619050232994,1455.0606225463455,41321.99667168269,16960.544426153527,13.85029118150138,0.8,45813.85584915299,1258.2466241188126,3460.7947214441792,11,7364.326589289415,219.20898558129704,20421.339147597704,0.2631,1.2102,0.6440388888888888
dynamic_reserve_aware,2025-02-08,1455.0606225463455,1878.6706786031027,36639.75639071679,14885.131513139135,639.2815469004715,0.8,43008.051111069326,1170.7357421398763,5047.121315232753,22,1998.331870555197,95.8573731512829,19932.252828371886,0.2752,1.1675,0.642351388888889
dynamic_reserve_aware,2025-02-09,1878.6706786031027,1785.2189090087552,80521.28776268149,56136.70589892202,730.2658046173499,0.8,77483.94932172308,3382.9131777261327,18841.76597723018,33,495.9794103300276,69.12678605281269,74978.4718761522,0.3001,1.3378,0.8413840277777778
dynamic_reserve_aware,2025-02-10,1785.2189090087552,1518.2498419546694,82016.8683227375,55934.77375235909,971.9428123233205,0.8,78387.47227234556,1937.110436127473,8610.850280295399,13,6232.865577789724,339.1287411353798,64545.624032654494,0.3637,1.352,0.8180638888888889
