date,time_index,emergency_purchase_kwh,price_yuan_per_kwh,emergency_cost_yuan
2025-02-01,0,0.0,0.3281,0.0
2025-02-01,1,0.0,0.3257,0.0
2025-02-01,2,0.0,0.3041,0.0
2025-02-01,3,0.0,0.3126,0.0
2025-02-01,4,0.0,0.3286,0.0
2025-02-01,5,0.0,0.3438,0.0
2025-02-01,6,0.0,0.3704,0.0
2025-02-01,7,0.0,0.3746,0.0
2025-02-01,8,0.0,0.3606,0.0
2025-02-01,9,0.0,0.3582,0.0
2025-02-01,10,0.0,0.3041,0.0
2025-02-01,11,0.0,0.2537,0.0
2025-02-01,12,0.0,0.3346,0.0
2025-02-01,13,-0.0,0.3971,-0.0
2025-02-01,14,0.0,0.367,0.0
2025-02-01,15,0.0,0.3185,0.0
2025-02-01,16,0.0,0.3285,0.0
2025-02-01,17,0.0,0.3772,0.0
2025-02-01,18,0.0,0.3815,0.0
2025-02-01,19,0.0,0.3822,0.0
2025-02-01,20,0.0,0.3962,0.0
2025-02-01,21,-0.0,0.3879,-0.0
2025-02-01,22,0.0,0.3405,0.0
2025-02-01,23,0.0,0.3164,0.0
2025-02-01,24,0.0,0.3916,0.0
2025-02-01,25,-0.0,0.4109,-0.0
2025-02-01,26,0.0,0.361,0.0
2025-02-01,27,0.0,0.3799,0.0
2025-02-01,28,0.0,0.4094,0.0
2025-02-01,29,0.0,0.4052,0.0
2025-02-01,30,0.0,0.3896,0.0
2025-02-01,31,0.0,0.3908,0.0
2025-02-01,32,0.0,0.3821,0.0
2025-02-01,33,0.0,0.3475,0.0
2025-02-01,34,-0.0,0.5182,-0.0
2025-02-01,35,-0.0,0.8102,-0.0
2025-02-01,36,-0.0,0.8756,-0.0
2025-02-01,37,-0.0,0.818,-0.0
2025-02-01,38,-0.0,0.7708,-0.0
2025-02-01,39,-0.0,0.7715,-0.0
2025-02-01,40,-0.0,0.8181,-0.0
2025-02-01,41,-0.0,0.8678,-0.0
2025-02-01,42,-0.0,0.864,-0.0
2025-02-01,43,-0.0,0.8237,-0.0
2025-02-01,44,-0.0,0.7654,-0.0
2025-02-01,45,-0.0,0.7258,-0.0
2025-02-01,46,-0.0,0.8697,-0.0
2025-02-01,47,-0.0,1.0783,-0.0
2025-02-01,48,-0.0,1.0448,-0.0
2025-02-01,49,-0.0,0.9667,-0.0
