date,time_index,grid_purchase_kwh,price_yuan_per_kwh,grid_cost_yuan
2025-02-01,0,1277.2378495292226,0.3281,419.0617384305379
2025-02-01,1,1284.2974492528224,0.3257,418.29567922164426
2025-02-01,2,1270.8363283036563,0.3041,386.46132743714185
2025-02-01,3,1266.0502211261974,0.3126,395.76729912404926
2025-02-01,4,1258.3054469562376,0.3286,413.47916986981966
2025-02-01,5,651.3914368147334,0.3438,223.94837597690534
2025-02-01,6,510.9465006728461,0.3704,189.2545838492222
2025-02-01,7,498.76288744158046,0.3746,186.83657763561604
2025-02-01,8,473.0740682616821,0.3606,170.59050901516255
2025-02-01,9,473.09987813491205,0.3582,169.4643763479255
2025-02-01,10,1335.0708291322826,0.3041,405.99503913912713
2025-02-01,11,1353.5934536132772,0.2537,343.4066591816884
2025-02-01,12,1282.3136979310138,0.3346,429.06216332771726
2025-02-01,13,363.6468082663165,0.3971,144.40414756255427
2025-02-01,14,512.9525389698974,0.367,188.25358180195235
2025-02-01,15,1300.85970282149,0.3185,414.32381534864453
2025-02-01,16,1342.0208050402744,0.3285,440.8538344557301
2025-02-01,17,558.5154411720484,0.3772,210.67202441009667
2025-02-01,18,528.6407536219363,0.3815,201.67644750676868
2025-02-01,19,512.7599197988907,0.3822,195.976841347136
2025-02-01,20,502.81129952499316,0.3962,199.2138368718023
2025-02-01,21,515.9505232797208,0.3879,200.1372079802037
2025-02-01,22,1330.680685172847,0.3405,453.09677330135446
2025-02-01,23,1324.9145948166029,0.3164,419.20297779997316
2025-02-01,24,492.5303803513514,0.3916,192.87489694558923
2025-02-01,25,338.86883355108637,0.4109,139.2412037061414
2025-02-01,26,583.3393172008,0.361,210.5854935094888
2025-02-01,27,572.4621201533305,0.3799,217.47835944625027
2025-02-01,28,529.8680676354503,0.4094,216.92798688995336
2025-02-01,29,511.75519280833487,0.4052,207.3632041259373
2025-02-01,30,551.8849458497763,0.3896,215.01437490307285
2025-02-01,31,594.3482145139203,0.3908,232.27128223204005
2025-02-01,32,593.9744223688575,0.3821,226.95762678714044
2025-02-01,33,586.4011987940198,0.3475,203.77441658092187
2025-02-01,34,0.0,0.5182,0.0
2025-02-01,35,0.0,0.8102,0.0
2025-02-01,36,0.0,0.8756,0.0
2025-02-01,37,0.0,0.818,0.0
2025-02-01,38,0.0,0.7708,0.0
2025-02-01,39,0.0,0.7715,0.0
2025-02-01,40,0.0,0.8181,0.0
2025-02-01,41,0.0,0.8678,0.0
2025-02-01,42,0.0,0.864,0.0
2025-02-01,43,0.0,0.8237,0.0
2025-02-01,44,0.0,0.7654,0.0
2025-02-01,45,0.0,0.7258,0.0
2025-02-01,46,0.0,0.8697,0.0
2025-02-01,47,0.0,1.0783,0.0
2025-02-01,48,0.0,1.0448,0.0
2025-02-01,49,0.0,0.9667,0.0
2025-02-01,50,0.0,0.9429,0.0
2025-02-01,51,0.0,0.893,0.0
2025-02-01,52,0.0,0.9266,0.0
2025-02-01,53,0.0,0.9995,0.0
2025-02-01,54,0.0,0.9415,0.0
2025-02-01,55,0.0,0.8825,0.0
2025-02-01,56,0.0,0.8929,0.0
2025-02-01,57,0.0,0.9059,0.0
2025-02-01,58,0.0,0.8581,0.0
2025-02-01,59,0.0,0.8084,0.0
2025-02-01,60,0.0,0.8605,0.0
2025-02-01,61,0.0,0.8292,0.0
2025-02-01,62,0.0,0.7446,0.0
2025-02-01,63,0.0,0.7982,0.0
2025-02-01,64,0.0,0.6917,0.0
2025-02-01,65,0.0,0.438,0.0
2025-02-01,66,0.0,0.3671,0.0
2025-02-01,67,290.8066249827972,0.3419,99.42678508161835
2025-02-01,68,491.7863396248234,0.308,151.4701926044456
2025-02-01,69,0.0,0.3563,0.0
2025-02-01,70,0.0,0.3499,0.0
2025-02-01,71,427.06163375700294,0.2979,127.22166069621117
2025-02-01,72,0.0,0.3528,0.0
2025-02-01,73,0.0,0.4214,0.0
2025-02-01,74,0.0,0.4077,0.0
2025-02-01,75,381.7088493758496,0.3359,128.21600250534786
2025-02-01,76,0.0,0.4541,0.0
2025-02-01,77,0.0,0.6884,0.0
2025-02-01,78,0.0,0.7168,0.0
2025-02-01,79,0.0,0.7194,0.0
2025-02-01,80,0.0,0.7375,0.0
2025-02-01,81,0.0,0.6413,0.0
2025-02-01,82,0.0,0.6761,0.0
2025-02-01,83,0.0,0.8225,0.0
2025-02-01,84,0.0,0.8111,0.0
2025-02-01,85,0.0,0.8061,0.0
2025-02-01,86,0.0,0.8727,0.0
2025-02-01,87,0.0,0.8717,0.0
2025-02-01,88,0.0,0.7054,0.0
2025-02-01,89,0.0,0.5147,0.0
2025-02-01,90,0.0,0.5575,0.0
2025-02-01,91,31.030983194214514,0.6606,20.499067498098107
2025-02-01,92,97.98981715941339,0.688,67.4169942056764
2025-02-01,93,168.10486504911682,0.6617,111.2349892030006
2025-02-01,94,232.22212148494037,0.6465,150.13160154001395
2025-02-01,95,245.1469549073451,0.6667,163.43947483672696
2025-02-01,96,293.54081693715176,0.6956,204.18699226148277
2025-02-01,97,361.5296595879262,0.7032,254.22765662222972
2025-02-01,98,438.4099292879622,0.7041,308.68443121165416
2025-02-01,99,455.94118848062044,0.7357,335.43593236519246
2025-02-01,100,422.1904321714369,0.7466,315.2073766591948
2025-02-01,101,442.31832698756153,0.7383,326.56362081491665
2025-02-01,102,480.23180856347136,0.7642,366.9931481042048
2025-02-01,103,482.46091832136256,0.787,379.69674271891233
2025-02-01,104,498.0980833298919,0.775,386.02601458066624
2025-02-01,105,507.1560267861829,0.7557,383.25780944231843
2025-02-01,106,482.80929527309524,0.8692,419.6578394513744
2025-02-01,107,0.0,1.0662,0.0
2025-02-01,108,0.0,1.1465,0.0
2025-02-01,109,0.0,1.1653,0.0
2025-02-01,110,0.0,1.1644,0.0
2025-02-01,111,0.0,1.1265,0.0
2025-02-01,112,0.0,1.1134,0.0
2025-02-01,113,0.0,1.1312,0.0
2025-02-01,114,0.0,1.1292,0.0
2025-02-01,115,0.0,1.133,0.0
2025-02-01,116,0.0,1.1382,0.0
2025-02-01,117,0.0,1.1103,0.0
2025-02-01,118,0.0,1.0929,0.0
2025-02-01,119,0.0,1.1041,0.0
2025-02-01,120,0.0,1.1204,0.0
2025-02-01,121,0.0,1.1344,0.0
2025-02-01,122,0.0,1.1597,0.0
2025-02-01,123,0.0,1.1766,0.0
2025-02-01,124,0.0,0.9864,0.0
2025-02-01,125,522.1156880497583,0.724,378.011758148025
2025-02-01,126,518.0469164315612,0.7481,387.5508981824509
2025-02-01,127,481.5177749397899,0.8129,391.42579924855517
2025-02-01,128,458.7117163306832,0.8144,373.57482177970843
2025-02-01,129,473.34571442496406,0.8497,402.201853546892
2025-02-01,130,454.2704103451075,0.6531,296.6840049963897
2025-02-01,131,411.05489929383936,0.3205,131.7430952236755
2025-02-01,132,1230.4736539123046,0.2542,312.78640282450783
2025-02-01,133,1217.9500412687476,0.273,332.5003612663681
2025-02-01,134,1230.895189838366,0.2774,341.4503256611627
2025-02-01,135,418.0893442345937,0.3501,146.37307941653125
2025-02-01,136,0.0,0.378,0.0
2025-02-01,137,389.6513453055454,0.3465,135.01419114837148
2025-02-01,138,0.0,0.3534,0.0
2025-02-01,139,404.0711063849083,0.3497,141.30366590280244
2025-02-01,140,411.70676278272583,0.3245,133.59884452299454
2025-02-01,141,371.25429956855834,0.3293,122.25404084792625
2025-02-01,142,0.0,0.3592,0.0
2025-02-01,143,0.0,0.4038,0.0
2025-02-02,0,584.1779275232101,0.4523,264.2236766187479
2025-02-02,1,591.7881236152846,0.4559,269.79620555620824
2025-02-02,2,1421.1742807845287,0.4264,605.988713326523
2025-02-02,3,1401.2345601099194,0.4251,595.6648115027267
2025-02-02,4,1415.4866291938547,0.4292,607.5268612500025
2025-02-02,5,622.2231102197577,0.4478,278.63150875640747
2025-02-02,6,628.2743299480118,0.5032,316.1476428298395
2025-02-02,7,623.3907485017596,0.4672,291.2481577000221
2025-02-02,8,1451.0815988339805,0.389,564.4707419464185
2025-02-02,9,597.4970454383702,0.4462,266.60318167460076
2025-02-02,10,589.6310969499111,0.4778,281.72573812266756
2025-02-02,11,1446.9734663669112,0.4332,626.8289056301459
2025-02-02,12,1493.8017853769675,0.4262,636.6583209276636
2025-02-02,13,1502.6936975301003,0.4412,662.9884593502802
2025-02-02,14,1499.1157908237424,0.4418,662.3093563859294
2025-02-02,15,1459.710359389514,0.4245,619.6470475608487
2025-02-02,16,608.9932393278289,0.4533,276.0566353873048
2025-02-02,17,587.0804268838696,0.4922,288.9609861122406
2025-02-02,18,617.2044419521623,0.4433,273.60672911739357
2025-02-02,19,1501.8819033296131,0.4219,633.6439750147638
2025-02-02,20,694.3167378379551,0.4714,327.30091021681204
2025-02-02,21,34.03215450219832,0.5121,17.42786632057576
2025-02-02,22,618.484924592175,0.4836,299.09930953277586
2025-02-02,23,1488.593211769714,0.4376,651.4083894704268
2025-02-02,24,682.7258658059687,0.4776,326.0698735089307
2025-02-02,25,669.8465511983613,0.4964,332.5118280148666
2025-02-02,26,645.0056246760938,0.4723,304.6361565345191
2025-02-02,27,664.8941362413839,0.4865,323.47099728143326
2025-02-02,28,707.3084501341253,0.4808,340.07390282448745
2025-02-02,29,676.0050488622193,0.4531,306.2978876394715
2025-02-02,30,706.2017873614592,0.4678,330.3611961276906
2025-02-02,31,717.7242719591012,0.4823,346.15841636587453
2025-02-02,32,1525.3237878324094,0.4391,669.7696752372109
2025-02-02,33,1501.4223231813064,0.3697,555.0758328801289
2025-02-02,34,775.5622575750366,0.5849,453.6263644556389
2025-02-02,35,882.3832870103245,0.9636,850.2645353631486
2025-02-02,36,894.9707046325591,1.0488,938.6452750186279
2025-02-02,37,868.0394002602617,1.0385,901.4589171702818
2025-02-02,38,756.4184907348545,1.0714,810.426770973323
2025-02-02,39,89.3548569561583,1.0749,96.04753574217456
2025-02-02,40,856.2449452553982,1.0446,894.433469813789
2025-02-02,41,827.2855831651922,0.9869,816.4481420257282
2025-02-02,42,835.3893029523941,0.9164,765.550757225574
2025-02-02,43,803.2109289257487,0.9117,732.2874039016051
2025-02-02,44,754.5187963643888,0.9168,691.7428325068715
2025-02-02,45,1382.6933080387014,0.8379,1158.558722805628
2025-02-02,46,695.1618420213049,1.0094,701.6963633363052
2025-02-02,47,85.50183353997363,1.3473,115.19662032840647
2025-02-02,48,36.21926985705136,1.3998,50.69973394590049
2025-02-02,49,0.0,1.3427,0.0
2025-02-02,50,0.0,1.3172,0.0
2025-02-02,51,0.0,1.2806,0.0
2025-02-02,52,0.0,1.2438,0.0
2025-02-02,53,0.0,1.2256,0.0
2025-02-02,54,0.0,1.2306,0.0
2025-02-02,55,0.0,1.2355,0.0
2025-02-02,56,0.0,1.2013,0.0
2025-02-02,57,0.0,1.1141,0.0
2025-02-02,58,-0.0,1.0893,-0.0
2025-02-02,59,0.0,1.1386,0.0
2025-02-02,60,0.0,1.1539,0.0
2025-02-02,61,0.0,1.097,0.0
2025-02-02,62,167.80450501493237,1.0376,174.11395440349384
2025-02-02,63,114.70249745829165,1.0533,120.81614057281858
2025-02-02,64,193.07131321214752,0.9148,176.62163732647252
2025-02-02,65,868.6400918649053,0.6806,591.1964465232545
2025-02-02,66,901.8456627871212,0.6578,593.2340769813684
2025-02-02,67,938.9404295182344,0.6943,651.9063402145101
2025-02-02,68,930.418272366946,0.6727,625.8923718212445
2025-02-02,69,906.7908331527624,0.6265,568.1044569702055
2025-02-02,70,934.0555323282188,0.577,538.9500421533821
2025-02-02,71,940.581129940875,0.5556,522.5868757951501
2025-02-02,72,924.4853669389518,0.5901,545.5388150306754
2025-02-02,73,907.0864052146003,0.6344,575.4556154681424
2025-02-02,74,960.8204869145312,0.6108,586.8691534073956
2025-02-02,75,956.4548685835816,0.519,496.4000767948789
2025-02-02,76,967.231631715243,0.6941,671.3554755735502
2025-02-02,77,115.60654493155039,1.0283,118.87821015311326
2025-02-02,78,-0.0,1.0587,-0.0
2025-02-02,79,113.77789131900693,0.9965,113.37966869939041
2025-02-02,80,168.29317360715186,1.0091,169.82464148697696
2025-02-02,81,0.0,1.0445,0.0
2025-02-02,82,-0.0,1.052,-0.0
2025-02-02,83,218.3542450409484,1.0369,226.4115166829594
2025-02-02,84,217.86248496417508,1.0441,227.4702205510952
2025-02-02,85,-0.0,1.0639,-0.0
2025-02-02,86,-0.0,1.0889,-0.0
2025-02-02,87,0.0,1.1026,0.0
2025-02-02,88,371.9609141761241,0.9951,370.1383056966611
2025-02-02,89,1290.691728287412,0.8205,1059.0125630598216
2025-02-02,90,1312.6176828735802,0.7696,1010.1905687395073
2025-02-02,91,1271.4779128901987,0.8245,1048.3335391779688
2025-02-02,92,578.9963654143748,0.8914,516.1173601303738
2025-02-02,93,645.2363113594492,0.8933,576.389596937396
