model,target,MAE,RMSE,nMAE,sMAPE,R2,daylight_MAE,daylight_RMSE
前一日同期,Load,658.4766755718955,1148.635465523264,0.1400459088558821,0.1465361721282069,0.37453844362533784,,
前一日同期,PV,119.47910053104575,261.9621192936864,0.07237311359855333,0.04668002331705963,0.9872198551107696,246.40661743892161,376.2000443977832
前一日同期,NetLoad,734.5460479983661,1218.1943385874094,0.22610275754811124,0.36405188407387834,0.553394460534128,,
前一周同期,Load,142.55051078431373,177.2483692779008,0.030317878493297857,0.03334532980020148,0.9851063660850902,,
前一周同期,PV,137.16450490196078,280.2993348905879,0.08308584723886057,0.15754292718222637,0.9853680259761355,282.86242342038753,402.5338081028006
前一周同期,NetLoad,238.5639218137255,338.5713931882224,0.07343305531431478,0.16501933047910178,0.9655021941992228,,
过去3日同期均值,Load,900.4046795206971,1237.0525542516232,0.1914995570223464,0.19584558330626087,0.27454165826138677,,
过去3日同期均值,PV,100.38468210784312,214.94135518121251,0.06080688563484623,0.06066923054174086,0.9913960326745886,207.02713513058129,308.67419899950215
过去3日同期均值,NetLoad,934.5114631263617,1272.8554525580785,0.2876546941460918,0.48019817035131485,0.5124163586074533,,
过去7日同期均值,Load,781.8746744456116,961.035398591402,0.16629039942687704,0.16869127612852852,0.5621604916053118,,
过去7日同期均值,PV,96.17717116013073,203.8714201732189,0.05825823347365239,0.10511308051035735,0.9922594560038944,198.34419919364547,292.77681461272147
过去7日同期均值,NetLoad,779.3315068685807,996.698804513454,0.2398883000286768,0.4365327400827678,0.7010360474885838,,
加权同期平均,Load,144.38921213643792,179.88738888844335,0.030708936539126326,0.03382899035277809,0.9846595671476107,,
加权同期平均,PV,112.71863056985293,237.27839182304646,0.06827803539402767,0.09837381557799912,0.9895148374557403,232.456543946925,340.7520857432461
加权同期平均,NetLoad,219.71522441380722,303.86369449986944,0.06763118289266788,0.15640423981571835,0.9722125573362169,,
