date,is_weekend,load_total_kwh,load_mean_kw,load_max_kw,load_peak_time,pv_total_kwh,pv_max_kw,pv_peak_time,pv_nonzero_intervals,pv_nonzero_duration_hours,netload_total_kwh,netload_max_kw,netload_min_kw,netload_negative_intervals
2025-01-01,False,127286.15238333333,5303.589682638889,7469.4947,08:10:00,35250.98236666667,5494.725,10:30:00,69,11.5,92035.17001666666,6464.5067,981.3950000000004,0
2025-01-02,False,127657.07848333333,5319.044936805555,7519.6199,08:10:00,34771.83921666667,5429.3182,11:50:00,69,11.5,92885.23926666666,6311.075,1136.5820000000003,0
2025-01-03,False,81883.55671666667,3411.814863194444,4753.54,09:00:00,36378.61534999999,6232.0875,12:00:00,69,11.5,45504.941366666666,3777.0475,-1962.9048999999995,30
2025-01-04,True,81891.73006666667,3412.1554194444443,4626.107,10:10:00,37126.1277,6566.5273,12:10:00,69,11.5,44765.602366666666,3820.5825,-2454.1386,28
2025-01-05,True,127674.11883333333,5319.754951388889,7474.9983,08:10:00,36638.408533333335,6130.3875,12:00:00,69,11.5,91035.71029999999,6521.7748,266.1099999999997,0
2025-01-06,False,126826.69011666666,5284.445421527778,7428.53,08:30:00,36194.20901666667,6048.5188,12:40:00,69,11.5,90632.48109999999,6337.9893,222.26519999999982,0
2025-01-07,False,126927.46215,5288.64425625,7373.5665,08:10:00,34360.5612,5426.8125,12:00:00,69,11.5,92566.90095,6570.8076,1143.3874999999998,0
2025-01-08,False,126695.94395,5278.997664583333,7400.2529,08:10:00,37169.94263333334,6346.5393,12:40:00,68,11.333333333333334,89526.00131666668,6527.8795,129.33419999999933,0
2025-01-09,False,127066.6182,5294.442424999999,7450.7115,08:40:00,35975.06208333334,6089.8125,12:00:00,67,11.166666666666666,91091.55611666669,6347.39,469.78700000000026,0
2025-01-10,False,81486.63841666668,3395.276600694445,4631.46,09:30:00,35995.971699999995,5738.286,11:10:00,67,11.166666666666666,45490.66671666667,3678.0862,-1533.8770999999997,27
2025-01-11,True,81610.19496666666,3400.4247902777774,4590.2659,09:50:00,36744.30835,6055.9664,11:50:00,67,11.166666666666666,44865.88661666666,3676.82,-1928.7524999999996,28
2025-01-12,True,126519.32696666667,5271.63862361111,7376.2661,08:40:00,35653.438566666664,5661.3299,13:10:00,68,11.333333333333334,90865.8884,6395.5057,797.2502000000004,0
2025-01-13,False,126980.35978333333,5290.848324305556,7430.66,09:30:00,38706.40281666667,6209.8471,12:40:00,66,11.0,88273.95696666666,6421.5705,142.22749999999996,0
2025-01-14,False,127109.49061666665,5296.228775694444,7427.03,08:00:00,37829.177683333335,6219.525,12:00:00,67,11.166666666666666,89280.31293333333,6369.6794,37.92500000000018,0
2025-01-15,False,126963.89896666666,5290.162456944444,7507.7254,08:10:00,36893.556033333334,6093.5776,11:40:00,69,11.5,90070.34293333332,6550.806,287.5097999999998,0
2025-01-16,False,126807.76418333333,5283.656840972222,7524.4005,08:10:00,37733.612733333335,6199.3148,12:10:00,69,11.5,89074.15145,6476.5561,232.58759999999984,0
2025-01-17,False,80876.07620000001,3369.836508333333,4658.1401,09:10:00,38186.962733333334,5964.0608,12:40:00,69,11.5,42689.11346666666,3745.2125,-2078.425,31
2025-01-18,True,81208.0575,3383.6690624999997,4588.0665,09:10:00,37965.54848333333,6090.7508,13:10:00,69,11.5,43242.50901666667,3823.91,-1973.2478999999998,32
2025-01-19,True,126210.84621666667,5258.785259027778,7413.62,08:00:00,37527.70675,6244.425,12:00:00,69,11.5,88683.13946666666,6435.3826,151.6266999999998,0
2025-01-20,False,126565.66615,5273.569422916667,7455.2219,08:10:00,38498.5896,6597.6375,12:00:00,69,11.5,88067.07655,6424.265600000001,74.27250000000004,0
2025-01-21,False,125750.14588333335,5239.589411805555,7419.21,10:00:00,42274.2412,7159.125,11:30:00,69,11.5,83475.90468333334,6308.5125,-701.8917999999994,10
2025-01-22,False,126679.58855,5278.316189583335,7408.7913,08:40:00,37780.82418333333,6052.0204,12:40:00,69,11.5,88898.76436666667,6359.3457,398.9974999999995,0
2025-01-23,False,126355.43114999999,5264.80963125,7448.7502,08:10:00,36789.50555,5765.1,11:30:00,69,11.5,89565.9256,6455.5964,826.0974999999999,0
2025-01-24,False,80339.53570000001,3347.480654166667,4657.18,09:30:00,40510.12255,6893.0015,11:50:00,69,11.5,39829.41315,3637.2875,-2806.2275000000004,32
2025-01-25,True,80632.06428333334,3359.6693451388887,4513.921,09:50:00,42192.488816666664,6893.025,13:00:00,71,11.833333333333334,38439.57546666666,3680.7149999999997,-2790.9303,34
2025-01-26,True,126385.04865000001,5266.043693750001,7465.2636,08:40:00,38686.05861666667,6081.515,11:10:00,71,11.833333333333334,87698.99003333332,6506.019,647.7800000000007,0
